Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Construction of 100 seated hostel at Govt. UGHS, Gunthuli under Gunupur Block","Construction of 100 seated hostel at Govt. UGHS, Gunthuli under Gunupur Block",B AND A ,NA ,"2,28,31,827",Civil Works - Buildings,NA ,Tender,90.0,360.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,01-Dec-2025 10:00 AM,16-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,01-Dec-2025 10:00 AM ,15-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,"2,28,318",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Papercost, EMD,Contractor license,Affidavit,PAN,GSTIN and other document as per DTCN",1.0,experience certificate,Technical Bid,,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-03/2025-26,2025_STSCD_122322_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"O/o Project Administrator, ITDA, Gunupur","O/o Project Administrator, ITDA, Gunupur","10,000",0.0,Nil,Nil,No,AOC,Technical,Technical Evalation,Ajaya Kumar Pradhan,20-Dec-2025 04:53 PM,technical_568461.pdf,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,27-Feb-2026 06:00 PM,finsummary_568461.pdf (1609.39 KB),Finance,procedding,Ajaya Kumar Pradhan,27-Feb-2026 05:56 PM,finance_568461.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,20-Dec-2025 04:56 PM,20-Dec-2025 05:00 PM,techsummary_568461.pdf (319.30 KB),27-Feb-2026,"INR 22,831,772.87",360.0,Ajaya Kumar Pradhan,27-Feb-2026 06:05 PM,329.pdf (497.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",1,3291149,Ch Mohan Rao,15-Dec-2025 02:38 PM,Rejected-Finance,Not Sucess in the Lottery Process,27-Feb-2026 06:00 PM,1.0,3299337.0,santosh kumar sethy,INR,"22,831,772.87",ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_122322_10,ITDAGNP-03/2025-26,"Construction of 100 seated hostel at Govt. UGHS, Gunthuli under Gunupur Block",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3303961,Manoj Kumar Anduru,15-Dec-2025 04:15 PM,Rejected-Finance,Not Sucess in the Lottery Process,27-Feb-2026 06:00 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3302760,RANJIT KUMAR PANIGRAHI,15-Dec-2025 01:25 PM,Rejected-Finance,Not Sucess in the Lottery Process,27-Feb-2026 06:00 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3299337,santosh kumar sethy,13-Dec-2025 12:27 PM,Accepted-AOC,Awarded to Lowest 1,27-Feb-2026 06:06 PM,,,,,,,,,,AOC
