Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
20-Oct-2025 09:00 AM,04-Nov-2025 11:30 AM,20-Oct-2025 09:00 AM,03-Nov-2025 05:00 PM,NA ,NA ,20-Oct-2025 09:00 AM,03-Nov-2025 05:00 PM,12-Jan-2026 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,DTCN,Odisha Tourism Devl. Corp.,BP I/20/2025-26 Dt. 03.10.2025,2025_OTDC_119829_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Superintending Engineer, O.T.D.C. Ltd., Bhubaneswa","O/o the Superintending Engineer, O.T.D.C. Ltd., Bhubaneswa","10,000","1,800",Nil,Nil,No,"7,75,885",Yes,fixed,,Nil,Nil,Development of Jayadev Pitha Kenduli Part A,Development of Jayadev Pitha Kenduli Part A,As per DTCN ,NA ,"7,75,88,463",Civil Works - Others,NA ,Tender,180.0,540.0,"Kenduli, Bhubaneswar",752060.0,NA ,NA ,NA ,"Superintending Engineer, O.T.D.C. Ltd., Bhubaneswa",No ,No,1.0,ICICI BANK,AOC,02-Feb-2026,"INR 65,949,281.21",540.0,Sunil Kumar Behera,03-Feb-2026 08:45 PM,AOC.pdf (588.00 KB),WORK ORDER,S.K. Behera,Internal,"S. K. JENA, A. S. SWAIN",Sunil Kumar Behera,16-Jan-2026 01:26 PM,finsummary_557179.pdf (269.53 KB),Finance,Financial Proceeding,Sunil Kumar Behera,16-Jan-2026 01:22 PM,finance_557179.pdf,BOQ Comparative Chart,Technical,List of Bidders,Sunil Kumar Behera,12-Jan-2026 12:34 PM,technical_557179.pdf,1,3172432,ARYA PRAKASH CHAMPATIRAY,01-Nov-2025 03:52 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Jan-2026 01:26 PM,1.0,3172550.0,Gayatri Agency,INR,"65,949,281.21",Odisha Tourism Devl. Corp.,2025_OTDC_119829_1,BP I/20/2025-26 Dt. 03.10.2025,Development of Jayadev Pitha Kenduli Part A,1.0,Development of Jayadev Pitha Kenduli Part A,REVOKE,18-Dec-2025 08:29 PM,Revoke.pdf ,74.58,Technical Opening,S.K. Behera,Internal,"S. K. JENA, A. S. SWAIN, D. MALLIK",Sunil Kumar Behera,12-Jan-2026 12:40 PM,12-Jan-2026 01:00 PM,techsummary_557179.pdf (12433.77 KB),AOC
,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3169737,ASHOK KUMAR DASH,03-Nov-2025 11:51 AM,Rejected-Technical,Not Fulfilled eligibility criteria,12-Jan-2026 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3171860,DAD CONSTRUCTION PRIVATE LIMITED,03-Nov-2025 03:07 PM,Rejected-Technical,Not Fulfilled eligibility criteria,12-Jan-2026 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3172550,Gayatri Agency,03-Nov-2025 12:56 PM,Accepted-AOC,SUCESSFUL BIDDER,03-Feb-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3176425,M/s Lalitendu Satpathy,03-Nov-2025 11:51 AM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Jan-2026 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3158705,M/S MAA VAISHNODEVI CONSTRUCTION,03-Nov-2025 02:17 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Jan-2026 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3169301,PRASANA KUMAR SAHOO,31-Oct-2025 11:30 AM,Rejected-AOC,UNSUCESSFUL BIDDER,03-Feb-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3172709,SANDEEP NAYAK,03-Nov-2025 02:01 PM,Rejected-Technical,Not Fulfilled eligibility criteria,12-Jan-2026 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3177070,SMRUTI RANJAN BAL,03-Nov-2025 12:57 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Jan-2026 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3172795,SUKANT NAYAK,03-Nov-2025 01:50 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,16-Jan-2026 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
