Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of 01 No. D Type Qtr at Radho PHC in the District of Mayurbhanj.,Construction of 01 No. D Type Qtr at Radho PHC in the District of Mayurbhanj.,Please refer Tender documents. ,NA ,"30,55,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,"SE RW Division, Udala",757041.0,NA ,NA ,NA ,"Office of the S.E R.W Division, Udala",No ,No,02-Dec-2025 01:00 PM,08-Dec-2025 05:30 PM,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,02-Dec-2025 01:00 PM ,08-Dec-2025 03:00 PM ,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,05(Onilne)/RWD/UDALA/2025-26,2025_CERWI_122336_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"30,550",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"S.E R.W Division, Udala","S.E R.W Division, Udala",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits, and other required documents as per DTCN.",AOC,SE RWD Udala,Internal,,Haripriya Behera,06-Feb-2026 05:05 PM,techsummary_568546.pdf (443.86 KB),SE RWD Udala,Internal,,Haripriya Behera,06-Feb-2026 05:08 PM,finsummary_568546.pdf (443.86 KB),Finance,10 Nos of bidders admitted,Haripriya Behera,06-Feb-2026 05:03 PM,,BOQ Comparative Chart,06-Feb-2026,"INR 2,597,757.9",180.0,Haripriya Behera,06-Feb-2026 05:12 PM,Radho29A.pdf (462.00 KB),1,3286242,ABHIJITA MOHANTY,08-Dec-2025 02:03 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_122336_29,05(Onilne)/RWD/UDALA/2025-26,Construction of 01 No. D Type Qtr at Radho PHC in the District of Mayurbhanj.,1.0,3288499.0,INDRAJIT NAYAK,INR,"2,597,757.9",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3284435,Biswajit Pramanik,08-Dec-2025 04:54 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3283258,BIVASH KUMAR ROUT,08-Dec-2025 01:39 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3288499,INDRAJIT NAYAK,08-Dec-2025 12:55 PM,Accepted-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3288244,PRADEEP KUMAR PARIDA,08-Dec-2025 12:12 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3276992,SATYAPRAKASH PRADHAN,06-Dec-2025 09:32 AM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3289247,SHASHIKANTA BISWAL,08-Dec-2025 04:08 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3285595,Sri Harish Chandra Parida,07-Dec-2025 12:02 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3285168,SRUTIRANJAN BEHERA,06-Dec-2025 09:47 PM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3286512,SUBHASISH PATI,08-Dec-2025 11:00 AM,Rejected-AOC,L1,06-Feb-2026 05:12 PM,,,,,,,,,,AOC
