Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
01-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,01-Sep-2025 11:00 AM ,10-Sep-2025 05:00 PM ,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,11-Dec-2025 11:00 AM,"23,974",Yes,percentage,1.0%,Nil,Nil,"E.E, L.I. Division, Bhadrak","E.E, L.I. Division, Bhadrak","7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,Installation and Energization of Lokanathpur-III RL Project under Dhamnagar Block,Installation and Energization of Lokanathpur-III RL Project under Dhamnagar Block,Please refer Tender documents. ,NA ,"23,97,353",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I. Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I. Division, Bhadrak",No ,No,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,2025_OLIC_117457_10,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,AOC,03-Feb-2026,"INR 2,404,828",90.0,DUSHASAN JENA,03-Feb-2026 07:42 PM,LokanathpurIIIRL.pdf (70.00 KB),Awarded of Work,1,3071082,AMALENDU NAYAK,10-Sep-2025 12:58 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,Finance,Admitted,DUSHASAN JENA,11-Dec-2025 01:26 PM,finance_550665.pdf,BOQ Comparative Chart,D S Jena,Internal,,DUSHASAN JENA,10-Dec-2025 05:53 PM,11-Dec-2025 11:00 AM,techsummary_550665.pdf (61.79 KB),D S Jena,Internal,,DUSHASAN JENA,03-Feb-2026 07:38 PM,finsummary_550665.pdf (61.79 KB),Technical,Technical Bid Opened,DUSHASAN JENA,11-Sep-2025 02:43 PM,technical_550665.pdf,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2025_OLIC_117457_10,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,Installation and Energization of Lokanathpur-III RL Project under Dhamnagar Block,1.0,3066473.0,Santosh Kumar Parida,INR,"2,404,828",AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Call Notice,AOC,,,,,,,,2,3071493,Bibekananda Pati,09-Sep-2025 03:43 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,3,3072464,Gouranga Jena,10-Sep-2025 04:25 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3073244,KAPIL JENA,10-Sep-2025 09:55 AM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3071292,LAKSHMIMANI GIRI,10-Sep-2025 02:48 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3074308,LAXMAN KUMAR SAHOO,10-Sep-2025 04:29 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3074262,MANIBHADRA JENA,10-Sep-2025 04:09 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3073422,NABIN KUMAR PAL,10-Sep-2025 03:15 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3071234,POWERTECH ENGINEERING.TAPAS RANJAN PATI,10-Sep-2025 11:49 AM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3074325,PRAVASH CHANDRA NAYAK,10-Sep-2025 03:26 PM,Rejected-AOC,Rejected,03-Feb-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
