Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 05:28 PM,22-Dec-2025 10:00 AM,techsummary_565857.pdf (1319.97 KB),Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 03:04 PM,finance_565857.pdf,BOQ Comparative Chart,1,3269482,BIKRAM SATAPATHY,01-Dec-2025 01:16 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 05:28 PM,27-Feb-2026,"INR 4,286,354.63",120.0,CHITARANJAN PRADHAN,27-Feb-2026 04:21 PM,44.pdf (693.00 KB),Agreement Done,1.0,3268685.0,JAYAJIT KUMAR SAHOO,INR,"4,286,354.63",Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 11:00 AM,technical_565857.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_44,EEOLICSBP-03/2025-26,Installation of Dangapal L.I. Project under Jujomura block in Sambalpur District,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,27-Feb-2026 01:05 PM,finsummary_565857.pdf (482.64 KB),AOC,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi","50,422",Yes,percentage,1.0%,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",1.0,ICICI BANK,Installation of Dangapal L.I. Project under Jujomura block in Sambalpur District,Installation of Dangapal L.I. Project under Jujomura block in Sambalpur District,Please refer Tender documents. ,NA ,"50,42,177",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Jujomura,768105.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_44,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,3267252,DIPAK RANJAN BEHERA,29-Nov-2025 09:07 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3268685,JAYAJIT KUMAR SAHOO,01-Dec-2025 12:39 PM,Accepted-AOC,Award of Contract,27-Feb-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3267574,KISANPRAKASH DAS,30-Nov-2025 03:57 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3267775,MISHRA ELECTRICAL AND CONSTRUCTION,30-Nov-2025 01:38 PM,Rejected-Technical,He has only one year experience certificate uploaded,21-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3267218,MOHAMMAD ANISH,30-Nov-2025 10:02 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3268358,MS Shree Shyam and Co,01-Dec-2025 01:53 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3260980,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 12:06 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3263644,PRAKASH KUMAR SWAIN,30-Nov-2025 09:14 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3268158,RAKESH RANJAN SAHU,30-Nov-2025 08:17 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
