Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Finance,Tender Open,Gajendra Pradhani,27-Feb-2026 12:09 AM,finance_572779.pdf,BOQ Comparative Chart,1.0,3327594.0,SANTOSH DAS,INR,"847,652.422",CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GUNUPUR,2025_CERWI_123636_1,EERWGNP Online 07 2025 26,Repair to H.L. bridge over Phalaphalia nallah at 2.5km on RD road to Bandri Road Repair of Revetment Wall and Stone Packing Parapet Wall Railing and Guard Post Approach road Site clearance At 2.500 km,Gajendra Pradhani,Internal,"EE,DAO,Estimator",Gajendra Pradhani,27-Feb-2026 12:22 AM,finsummary_572779.pdf (277.16 KB),Gajendra Pradhani,Internal,"EE,DAO,Estimator",Gajendra Pradhani,27-Feb-2026 12:14 AM,techsummary_572779.pdf (277.16 KB),1,3327345,ALLU GEETHALAKSHMI,25-Dec-2025 01:47 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,27-Feb-2026,"INR 847,652.422",60.0,Gajendra Pradhani,27-Feb-2026 12:27 AM,Agreement.PDF (103.00 KB),The qualified bidder selected through transparent lottery system.,AOC,22-Dec-2025 05:00 PM,30-Dec-2025 11:00 AM,22-Dec-2025 05:00 PM,29-Dec-2025 05:00 PM,22-Dec-2025 05:00 PM ,28-Dec-2025 05:00 PM ,22-Dec-2025 05:00 PM,29-Dec-2025 05:00 PM,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GUNUPUR,EERWGNP Online 07 2025 26,2025_CERWI_123636_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN CARD REGISTRATION CERTIFICATE AFFIDAVIT REGARDING CORRECTNESS AND NO RELATION,Executive Engineer,"RURAL WORKS DIVISION, GUNUPUR","9,971",Yes,percentage,1.0%,Nil,Nil,Repair to H.L. bridge over Phalaphalia nallah at 2.5km on RD road to Bandri Road Repair of Revetment Wall and Stone Packing Parapet Wall Railing and Guard Post Approach road Site clearance At 2.500 km,Repair to H.L. bridge over Phalaphalia nallah at 2.5km on RD road to Bandri Road Repair of Revetment Wall and Stone Packing Parapet Wall Railing and Guard Post Approach road Site clearance At 2.500 km,NA ,NA ,"9,97,121",Civil Works - Bridges,NA ,Tender,90.0,60.0,Gunupur,764062.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, GUNUPUR",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3330381,Balaram Panigrahi,27-Dec-2025 06:08 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3329305,Bighnaraj Barik,26-Dec-2025 01:06 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3334562,CHHABILAL BEHERA,28-Dec-2025 07:47 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3335637,CHINNARI VENKATA KRISHNA RAO,29-Dec-2025 11:11 AM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3328443,JAYLAXMI MUGULI,26-Dec-2025 11:47 AM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3327217,K NAGABHUSANA PATNAIK,28-Dec-2025 11:34 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3337331,PRASANT KARKARIA,29-Dec-2025 03:46 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3326820,RAJENDRA PRASAD SAHU,24-Dec-2025 07:38 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3336078,RAKESH KUMAR PATRO,29-Dec-2025 12:56 PM,Rejected-AOC,Unsuccessful Lottery,27-Feb-2026 12:27 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
