Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
02-Feb-2026,"INR 73,139,052",455.0,Bikram Keshari Malla,02-Feb-2026 01:18 PM,BONAI.pdf (84.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 29.01.2026,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120893_12,18/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Bonai Under Bonai Block, Sundergarh",1.0,3264233.0,Narayan Kumar Infrastructure Pvt Ltd,INR,"73,139,052",1,3249347,ANAND ENGINEERING,29-Nov-2025 11:54 AM,Rejected-Finance,DUE TO L1 BIDDER BUT UNSUCCESSFUL IN TRANSPARENT LOTTERY SYSTEM,02-Feb-2026 01:11 PM,Finance,Financial bid opened,MONALISHA PADHY,31-Dec-2025 10:54 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,30-Dec-2025 06:20 PM,31-Dec-2025 10:30 AM,techsummary_562660.pdf (214.13 KB),Technical,7 Nos. of bidders have been participated,MONALISHA PADHY,02-Dec-2025 11:04 AM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,02-Feb-2026 01:11 PM,finsummary_562660.pdf (800.95 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,"8,12,600",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,07-Nov-2025 06:55 PM,01-Dec-2025 10:30 AM,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,31-Dec-2025 10:30 AM,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2025-26,2025_OSPHW_120893_12,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Const. of Atal Bus Stand (C Type) at Bonai Under Bonai Block, Sundergarh",Building Work,Please refer Tender documents. ,NA ,"8,12,56,585",Civil Works - Buildings,NA ,Tender,90.0,365.0,Sundergarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,SITE PHOTOGRAPH WITH GPS CO-ORDINATES,Technical Bid,,AOC
,,,,,,,,,,,,,,,,2,3264802,Madan Mohan Pradhan,28-Nov-2025 06:41 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. 11 and 110(k) and adequate Turnover as per DTCN Cl. 12 and 110(j).,30-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3263042,MONALISA ENGICONS,29-Nov-2025 01:37 PM,Rejected-Finance,DUE TO L2 BIDDER,02-Feb-2026 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3264233,Narayan Kumar Infrastructure Pvt Ltd,29-Nov-2025 12:24 PM,Accepted-AOC,QUALIFIED BIDDER,02-Feb-2026 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3266280,NIRAKAR SAMAL,29-Nov-2025 01:52 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,30-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3266699,SUMANTA KUMAR SAHOO,29-Nov-2025 03:29 PM,Rejected-Technical,Non submission of valid adequate documents to secure qualifying marks in Sch. C as per DTCN Cl. 13 and 110(f).,30-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3266376,VISHAL AGRAWAL,29-Nov-2025 04:28 PM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j).,30-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
