Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EPF ,Affidavits and all Other document as per DTCN.","EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITy",1.0,ICICI BANK,Municipal Bodies||Jatni Municipal Council,EO/JMC/082/2024-25,2025_ORULB_110517_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Construction of Road at Kuni Mangaraj House lane W no- 11,Construction of Road at Kuni Mangaraj House lane W no- 11,Please refer Tender documents. ,NA ,"10,59,319",Civil Works - Others,NA ,Tender,30.0,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,17-Feb-2025 11:00 AM,04-Mar-2025 11:00 AM,17-Feb-2025 11:00 AM,03-Mar-2025 05:00 PM,NA ,NA ,17-Feb-2025 11:00 AM,03-Mar-2025 05:00 PM,"10,593",Yes,percentage,1.0%,Nil,Nil,AOC,chairperson,Internal,,Aakriti Goenka,27-Feb-2026 04:57 PM,finsummary_530165.pdf (1689.98 KB),chairperson,Internal,,Aakriti Goenka,27-Feb-2026 04:49 PM,techsummary_530165.pdf (1689.98 KB),1.0,2842761.0,Surendra Behera,INR,"900,527",Municipal Bodies||Jatni Municipal Council,2025_ORULB_110517_37,EO/JMC/082/2024-25,Construction of Road at Kuni Mangaraj House lane W no- 11,1,2843669,ABINASH SETHI,03-Mar-2025 04:53 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,27-Feb-2026,"INR 900,527",30.0,Aakriti Goenka,27-Feb-2026 05:00 PM,3745.pdf (1690.00 KB),Finance,twelve bidders are participated,Suryamani Pattajoshi,11-Mar-2025 12:43 PM,finance_530165.pdf,BOQ Comparative Chart,AOC
,,.xls,boq,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2842811,BIJAY KUMAR SETHI,02-Mar-2025 05:52 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2843567,JITENDRA KUMAR MARTHA,03-Mar-2025 03:47 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2842299,JYOTI PRAKASH MOHANTY,01-Mar-2025 05:57 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2842997,M/s RANJIT KUMAR KHUNTIA,03-Mar-2025 06:40 AM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2842693,PRADIP KUMAR BARAL,02-Mar-2025 01:57 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2842585,PRAMOD KUMAR BALIARSINGH,02-Mar-2025 11:36 AM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2843667,PRASANNA KUMAR NAYAK,03-Mar-2025 04:54 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2843155,RAJASHREE CHHOTARAY,03-Mar-2025 11:32 AM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2842267,SATYAJIT SAMANTARAY,01-Mar-2025 05:17 PM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,2843029,SRIKANTA PATRA,03-Mar-2025 09:36 AM,Rejected-Finance,Lottery,27-Feb-2026 04:57 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,2842761,Surendra Behera,02-Mar-2025 04:31 PM,Accepted-AOC,work order issued,27-Feb-2026 05:00 PM,,,,,,,,,,,,,AOC
