Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
20-Feb-2026,"INR 1,439,814.273",60.0,Prafulla Kumar Biswal,20-Feb-2026 12:09 PM,WO351.pdf (548.00 KB),1.0,3266785.0,PABITRA MOHAN MOHAPATRA,INR,"1,439,814.273",Municipal Bodies||Banki NAC,2025_ORULB_121230_12,NAC-BAN-04/2025-26,Construction of Drain Cover Slab with Repair of Potholes in different ward lane under Banki NAC.,1,3255103,ARPITA SARGAM SAHOO,25-Nov-2025 06:14 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,Finance,"The tender has been opened in presence of EO, ME, AE, JE in Banki NAC.",Surya Narayan Barik,03-Dec-2025 12:16 AM,finance_564392.pdf,BOQ Comparative Chart,CHAIRMAN,Internal,"EO,ME,AE,JE",Prafulla Kumar Biswal,15-Jan-2026 07:24 PM,finsummary_564392.pdf (910.95 KB),CHAIRMAN,Internal,"EO,ME,AE,JE",Prafulla Kumar Biswal,15-Jan-2026 06:18 PM,techsummary_564392.pdf (910.95 KB),AOC,Municipal Bodies||Banki NAC,NAC-BAN-04/2025-26,2025_ORULB_121230_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER BANKI NAC,BANKI CUTTACK,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",0.0,Nil,Nil,No,17-Nov-2025 11:00 AM,01-Dec-2025 11:00 AM,17-Nov-2025 11:00 AM,29-Nov-2025 05:00 PM,NA ,NA ,17-Nov-2025 11:00 AM,29-Nov-2025 05:00 PM,"16,937",Yes,percentage,1.0%,Nil,Nil,Construction of Drain Cover Slab with Repair of Potholes in different ward lane under Banki NAC.,Construction of Drain Cover Slab with Repair of Potholes in different ward lane under Banki NAC.,Please refer Tender documents. ,NA ,"16,93,699",Civil Works - Others,NA ,Tender,180.0,60.0,BANKI NAC,754008.0,NA ,NA ,NA ,O/O THE EO BANKI NAC,No ,No,AOC
,,,,,,,,,,,,,,,2,3266402,HIRALAL SUTAR,29-Nov-2025 02:02 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3266324,KASHINATH PRADHAN,29-Nov-2025 01:53 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3266456,MANASH PRADHAN PRO. SHREE JAGANNATH TRADERS,29-Nov-2025 02:15 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3263309,M/s BIJU MOHAPATRA,28-Nov-2025 01:14 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3236199,M/S. RAJ RIYANSH CONSTRUCTIONS,18-Nov-2025 06:48 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3265710,NARAYAN PRUSTY,29-Nov-2025 11:26 AM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3266785,PABITRA MOHAN MOHAPATRA,29-Nov-2025 04:13 PM,Accepted-AOC,Due to L1,20-Feb-2026 12:13 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3266427,SUSIL KUMAR SAHOO,29-Nov-2025 02:06 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3265919,trinath setha,29-Nov-2025 12:28 PM,Rejected-Finance,Unsuccessful in Lottery,15-Jan-2026 07:24 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
