Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
18-Feb-2026,"INR 1,152,087",30.0,Lambodar Naik,18-Feb-2026 04:59 PM,42.pdf (431.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120110_33,SE/BDK-II/TCN-10/2025-26,S/R to Kalidaspur to Kamargadia road for the year 2025-26 in the District of Bhadrak,1.0,3204747.0,SMRUTI REKHA MOHANTY,INR,"1,152,087",1,3207083,AKSHAYA KUMAR MOHANTY,10-Nov-2025 01:41 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,Finance,Total 18 bidders accepted,Lambodar Naik,18-Feb-2026 04:38 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Lambodar Naik,18-Feb-2026 04:56 PM,finsummary_558896.pdf (402.59 KB),Executive Engineer,Internal,,Lambodar Naik,18-Feb-2026 04:52 PM,techsummary_558896.pdf (281.23 KB),AOC,1.0,ICICI BANK,27-Oct-2025 04:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","13,550",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120110_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Kalidaspur to Kamargadia road for the year 2025-26 in the District of Bhadrak,S/R to Kalidaspur to Kamargadia road for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"13,55,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,"6,000",0.0,Nil,Nil,No,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",AOC
,,,,,,,,,,,,,,,2,3198220,Alok Kumar Barik,09-Nov-2025 01:16 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3183600,Bishnu Mohan Palitta,05-Nov-2025 12:17 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3203143,BISWANATH PANDA,09-Nov-2025 07:15 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3207962,BRAHMANANDA SAHOO,10-Nov-2025 03:14 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3192355,HEMANTA KUMAR NAYAK,07-Nov-2025 10:22 AM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3191591,KISHORE KUMAR NAYAK,06-Nov-2025 10:01 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3206078,MAMATA BARIK,10-Nov-2025 12:32 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3177415,MIHIR KUMAR PANDA,03-Nov-2025 02:22 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3183712,PITAMBER NAYAK,06-Nov-2025 04:33 PM,Rejected-AOC,rejected,18-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
