Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
01-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,01-Sep-2025 11:00 AM ,10-Sep-2025 05:00 PM ,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,11-Dec-2025 11:00 AM,"E.E, L.I. Division, Bhadrak","E.E, L.I. Division, Bhadrak","7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DTCN,"23,781",Yes,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,2025_OLIC_117457_6,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Installation and Energization of Gadagadi-II RL Project under Dhamnagar Block,Installation and Energization of Gadagadi-II RL Project under Dhamnagar Block,Please refer Tender documents. ,NA ,"23,78,057",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I. Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I. Division, Bhadrak",No ,No,AOC,D S Jena,Internal,,DUSHASAN JENA,10-Dec-2025 05:44 PM,11-Dec-2025 11:00 AM,techsummary_550661.pdf (61.79 KB),1.0,3074571.0,NABIN KUMAR PAL,INR,"2,385,472",Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2025_OLIC_117457_6,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,Installation and Energization of Gadagadi-II RL Project under Dhamnagar Block,Finance,Admitted,DUSHASAN JENA,11-Dec-2025 12:42 PM,finance_550661.pdf,BOQ Comparative Chart,Technical,Technical Bid Opened,DUSHASAN JENA,11-Sep-2025 01:43 PM,technical_550661.pdf,1,3071048,AMALENDU NAYAK,10-Sep-2025 12:44 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,03-Feb-2026,"INR 2,385,472",90.0,DUSHASAN JENA,03-Feb-2026 07:04 PM,GadagadiIIRL.pdf (65.00 KB),D S Jena,Internal,,DUSHASAN JENA,03-Feb-2026 06:56 PM,finsummary_550661.pdf (61.79 KB),AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Tender Call Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3071458,Bibekananda Pati,09-Sep-2025 03:27 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3071262,LAKSHMIMANI GIRI,10-Sep-2025 03:06 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3074412,LAXMAN KUMAR SAHOO,10-Sep-2025 04:13 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3074202,MANIBHADRA JENA,10-Sep-2025 03:16 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3074571,NABIN KUMAR PAL,10-Sep-2025 04:51 PM,Accepted-AOC,Bidder awarded of work after winning the lottery in the presence of all bidders and the Tender Committee,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3071189,POWERTECH ENGINEERING.TAPAS RANJAN PATI,10-Sep-2025 11:39 AM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3074194,PRAVASH CHANDRA NAYAK,10-Sep-2025 02:45 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3072777,Rudra Narayan Nayak,09-Sep-2025 09:03 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3074295,Sagar Ranjan Dash,10-Sep-2025 04:30 PM,Rejected-AOC,Rejected,03-Feb-2026 07:04 PM,,,,,,,,,,,,,AOC
