S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3143013.0,M/S ANITA CONSTRUCTION,INR,"864,511",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2025_CERWI_119425_19,TCN-07 of 2025-26,Periodical Maintenance to Gujidarada-Aharapada Road for the Year 2025-26,1,3141288,Ajit Kumar Lenka,22-Oct-2025 08:29 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,18-Feb-2026,"INR 864,511",60.0,Ganesh Chandra Hembram,18-Feb-2026 06:18 PM,7051.pdf (747.00 KB),Finance,Total 7 nos bidder,Ganesh Chandra Hembram,07-Feb-2026 11:31 AM,finance_555827.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Ganesh Chandra Hembram,18-Feb-2026 05:33 PM,finsummary_555827.pdf (125.25 KB),Executive Engineer,Internal,,Ganesh Chandra Hembram,07-Feb-2026 01:51 PM,techsummary_555827.pdf (125.25 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,Executive Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak",14-Oct-2025 12:00 PM,23-Oct-2025 11:00 AM,14-Oct-2025 12:00 PM,22-Oct-2025 04:00 PM,14-Oct-2025 12:00 PM ,22-Oct-2025 02:00 PM ,14-Oct-2025 12:00 PM,22-Oct-2025 04:00 PM,1.0,ICICI BANK,Periodical Maintenance to Gujidarada-Aharapada Road for the Year 2025-26,Repair of Roads,"PAN,GST,RC and other relevant document as per DTCN. ",NA ,"10,16,952",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the Superintending Engineer, R.W.Division, Bha",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN-07 of 2025-26,2025_CERWI_119425_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"10,170",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,3140463,DIBAKAR MOHAPATRA,21-Oct-2025 05:32 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,DTCN,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3138700,MAMATA BARIK,21-Oct-2025 05:17 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3143013,M/S ANITA CONSTRUCTION,22-Oct-2025 03:09 PM,Accepted-AOC,Successful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3140758,PRAVAT KUMAR MOHANTY,22-Oct-2025 09:00 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3141752,Priyanka Mohanty,22-Oct-2025 11:22 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3141811,SASHIKANTA SAHOO,22-Oct-2025 11:12 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,18-Feb-2026 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
