Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120893_11,18/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Hemgiri Under Hemgiri Block, Sundergarh",1.0,3265861.0,isar engineers pvt ltd,INR,"70,902,988",1,3249346,ANAND ENGINEERING,29-Nov-2025 11:50 AM,Rejected-Finance,DUE TO L2 BIDDER,17-Feb-2026 12:50 PM,17-Feb-2026,"INR 70,902,988",455.0,Bikram Keshari Malla,17-Feb-2026 12:55 PM,HEMGIRI.pdf (82.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 10.02.2026.,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,30-Dec-2025 06:16 PM,31-Dec-2025 10:30 AM,techsummary_562652.pdf (194.20 KB),Finance,Financial bid opened,MONALISHA PADHY,31-Dec-2025 10:48 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,17-Feb-2026 12:50 PM,finsummary_562652.pdf (390.05 KB),Technical,7 Nos. of bidders have been participated,MONALISHA PADHY,02-Dec-2025 10:53 AM,,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","8,34,100",Yes,fixed,,Nil,Nil,1.0,SITE PHOTOGRAPH WITH GPS CO-ORDINATES,Technical Bid,,07-Nov-2025 06:55 PM,01-Dec-2025 10:30 AM,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,NA ,NA ,07-Nov-2025 06:55 PM,29-Nov-2025 05:00 PM,31-Dec-2025 10:30 AM,"11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2025-26,2025_OSPHW_120893_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Const. of Atal Bus Stand (C Type) at Hemgiri Under Hemgiri Block, Sundergarh",Building Work,Please refer Tender documents. ,NA ,"8,34,05,467",Civil Works - Buildings,NA ,Tender,90.0,365.0,Sundergarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC
,,,,,,,,,2,3262742,ASHISH AGARWAL,28-Nov-2025 02:27 PM,Rejected-Finance,DUE TO L1 BIDDER AND 1ST WINNER IN TRANSPARENT LOTTERY SYSTEM BUT NOT SUBMITTED REQUIRED EMD/ISD AND APSD WITHIN STIPULATED TIME PERIOD,17-Feb-2026 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3265861,isar engineers pvt ltd,29-Nov-2025 02:31 PM,Accepted-AOC,QUALIFIED BIDDER,17-Feb-2026 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3266268,NIRAKAR SAMAL,29-Nov-2025 01:50 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,30-Dec-2025 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3259893,Rajesh Kumar Panda,29-Nov-2025 12:14 AM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,30-Dec-2025 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3266486,SANDIP KUMAR PADHI,29-Nov-2025 02:44 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,30-Dec-2025 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3266689,SUMANTA KUMAR SAHOO,29-Nov-2025 03:23 PM,Rejected-Technical,Non submission of valid adequate documents to secure qualifying marks in Sch. C as per DTCN Cl. 13 and 110(f).,30-Dec-2025 06:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
