Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,000",Nil,Nil,No,"Superintending Engineer,T.C Division Ambaguda","Office of Superintending Engineer,Telengiri Canal Division Ambaguda",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost,EMD,GSTIN,PAN,Contractor RC",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,SE-TCD-03/2025-26,2025_TCDA_123688_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Dec-2025 11:00 AM,06-Jan-2026 12:30 PM,24-Dec-2025 11:00 AM,05-Jan-2026 05:30 PM,NA ,NA ,24-Dec-2025 11:00 AM,05-Jan-2026 05:30 PM,Providing RCC Canal Trough in Between RD 1700 mtr to 1800 mtr Of Kumuli Sub minor EX RD 2250 mtr Of Gadabaguda Tokiguda Disty Of TMIP,Canal Structural works,Please refer Tender documents. ,NA ,"9,25,081",Civil Works - Canal,NA ,Tender,90.0,60.0,Ambaguda,764055.0,NA ,NA ,NA ,"Office of SE,Telengiri Canal Division Ambaguda",No ,No,"9,300",Yes,fixed,,Nil,Nil,AOC,1,3343776,ANITA MAHAKHUDA,04-Jan-2026 10:58 AM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,"SE,Telengiri Canal Division,Ambaguda",Internal,Divisional Accountant and Estimator,Bikash Ranjan Pradhan,13-Feb-2026 01:06 PM,finsummary_573006.pdf (297.80 KB),Finance,Bid Opening Summary,Bikash Ranjan Pradhan,13-Feb-2026 12:49 PM,finance_573006.pdf,BOQ Comparative Chart,13-Feb-2026,"INR 786,412",60.0,Bikash Ranjan Pradhan,13-Feb-2026 01:21 PM,SJ.pdf (573.00 KB),Work Order,"SE,Telengiri Canal Division,Ambaguda",Internal,Divisional Accountant and Estimator,Bikash Ranjan Pradhan,13-Feb-2026 12:57 PM,techsummary_573006.pdf (216.72 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,2025_TCDA_123688_1,SE-TCD-03/2025-26,Providing RCC Canal Trough in Between RD 1700 mtr to 1800 mtr Of Kumuli Sub minor EX RD 2250 mtr Of Gadabaguda Tokiguda Disty Of TMIP,1.0,3344840.0,Saheb Jena,INR,"786,412",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit,Undertaking and any other document as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3339837,BASANTA KUMAR TRIPATHY,05-Jan-2026 11:25 AM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3343672,BRUNDABAN BHARATI,04-Jan-2026 08:40 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3344123,GITANJALI SATAPATHY,04-Jan-2026 05:59 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3344213,LABANYA KUMAR MALICK,04-Jan-2026 08:51 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3343655,NARENDRA BHARATI,04-Jan-2026 08:21 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3344220,Nrusingh Charan Pattnaik,04-Jan-2026 09:03 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3344840,Saheb Jena,05-Jan-2026 12:14 PM,Accepted-AOC,being Qualified in transparent lottery process,13-Feb-2026 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3345806,SRIKUMAR BISWAS(S.C),05-Jan-2026 05:23 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3344779,SUDHIR KUMAR PATRA,05-Jan-2026 12:02 PM,Rejected-Finance,Disqualified in transparent lottery system.,13-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
