Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Stage
Finance,15NOS BIDDERS PARTICIPATED,PRADEEP KUMAR SWAIN,17-Feb-2026 03:26 PM,finance_566205.pdf,BOQ Comparative Chart,1.0,3256440.0,SHIVSAI ASSOCIATES,INR,"7,853,164","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",2025_OLIC_121665_22,1173/LID/KDP/2025-25,SIHAPADA_VI_SIHAPADA_VII RL,ECECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,PRADEEP KUMAR SWAIN,17-Feb-2026 03:36 PM,finsummary_566205.pdf (95.32 KB),ECECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,PRADEEP KUMAR SWAIN,17-Feb-2026 03:31 PM,techsummary_566205.pdf (95.32 KB),1,3253774,Ambika Prasad Samal,26-Nov-2025 08:00 PM,Rejected-Technical,L2 BIDDER,17-Feb-2026 03:31 PM,17-Feb-2026,"INR 7,853,164",90.0,PRADEEP KUMAR SWAIN,18-Feb-2026 11:08 AM,Sihapada_Agt.pdf (249.00 KB),WON THE LOTTERY,AOC,"11,800",0.0,Nil,Nil,No,"76,639",Yes,fixed,,Nil,Nil,21-Nov-2025 11:00 AM,29-Nov-2025 11:00 AM,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,21-Nov-2025 11:00 AM ,27-Nov-2025 05:00 PM ,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",1173/LID/KDP/2025-25,2025_OLIC_121665_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,paper cost/RC/GST/PAN/Joint Venture/HT licensee/Experience and other documents as per DTCN,SIHAPADA_VI_SIHAPADA_VII RL,Papaer cost/RC/PAN/GST/Joint Venture/HT license/Esxperience with other documents as per DTCN,Please refer Tender documents. ,NA ,"76,63,858",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,KENDRAPARA,754211.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA",No ,No,1.0,ICICI BANK,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA","OFFICE OF THE EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA AT/PO-TINIMUHANI",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3261889,Archana Priyadarsini,27-Nov-2025 10:20 PM,Rejected-Technical,L2 bidder,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3244325,KAMALAKANTA MOHARANA,24-Nov-2025 12:45 PM,Rejected-Technical,L2 BIDDER,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3260700,"M/S GURUKRUPA CONSTRUCTION, PROPRIETOR , TRUPTI SINGH",27-Nov-2025 04:13 PM,Rejected-Technical,L2 bidder,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3260129,M/S POWER POINT ENGINEERING PRIVATE LIMITED,27-Nov-2025 07:11 PM,Rejected-Technical,L2 bidder,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3261023,Ranjan Kumar Sethi,27-Nov-2025 06:23 PM,Rejected-Technical,L2 bidder,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3256480,SANJIB KUMAR BISWAL,26-Nov-2025 12:29 PM,Rejected-Technical,L2 bidder,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3256214,Sarala Prasad Das,26-Nov-2025 03:53 PM,Rejected-Technical,L2 bidder,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3256062,SASMITA SAMAL,28-Nov-2025 07:56 AM,Rejected-Technical,L2 BIDDER,17-Feb-2026 03:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3256440,SHIVSAI ASSOCIATES,27-Nov-2025 05:34 PM,Accepted-AOC,L1 BIDDER,18-Feb-2026 11:08 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
