Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,"21,190",Yes,fixed,,Nil,Nil,Moudhpuur to Nidhibindha via Kathamunda_Road_CC road_1_200 to 1_900,Moudhpuur to Nidhibindha via Kathamunda_Road_CC road_1_200 to 1_900,NA ,NA ,"21,18,359",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BHADRAK",No ,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, BHADRAK",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,TCN-21of 2025-26,2026_CERWI_124223_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,05-Jan-2026 05:00 PM,13-Jan-2026 11:00 AM,05-Jan-2026 05:00 PM,12-Jan-2026 05:00 PM,05-Jan-2026 05:00 PM ,12-Jan-2026 03:00 PM ,05-Jan-2026 05:00 PM,12-Jan-2026 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",AOC,Superintending Engineer,Internal,,Lambodar Naik,26-Feb-2026 02:32 PM,finsummary_574579.pdf (2473.89 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2026_CERWI_124223_1,TCN-21of 2025-26,Moudhpuur to Nidhibindha via Kathamunda_Road_CC road_1_200 to 1_900,1.0,3350892.0,KUMAR GOURAB MAHARANA,INR,"1,800,817.05",Finance,total no of bidders 18,Lambodar Naik,26-Feb-2026 02:20 PM,finance_574579.pdf,BOQ Comparative Chart,1,3350781,Anshuman Swain,11-Jan-2026 01:15 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,26-Feb-2026,"INR 1,800,817.05",60.0,Lambodar Naik,26-Feb-2026 02:37 PM,work.pdf (1809.00 KB),Superintending Engineer,Internal,,Lambodar Naik,26-Feb-2026 02:27 PM,techsummary_574579.pdf (281.57 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,2,3351808,A R CONSTRUCTION PROP. ASHUTOSH SAHOO,12-Jan-2026 04:35 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3351372,BAIDHAR BHARATI,12-Jan-2026 12:19 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3351225,BIKASH NAYAK,12-Jan-2026 11:01 AM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3351293,BIREN PUHAN,12-Jan-2026 11:59 AM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3351892,CHITTARANJAN GHOSH,12-Jan-2026 03:51 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3350892,KUMAR GOURAB MAHARANA,12-Jan-2026 06:13 AM,Accepted-AOC,Selected through transparent lottery system,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3350754,Lili Rout,11-Jan-2026 12:48 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3351861,MADHUSMITA BEHERA,12-Jan-2026 03:38 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3351881,Nanda Kishore Sahoo,12-Jan-2026 03:49 PM,Rejected-AOC,rejected,26-Feb-2026 02:37 PM,,,,,,,,,,,,,AOC
