Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,Municipal Bodies||Belpahar Municipal Council,EO/BPHM/05/25-26,2026_ORULB_124268_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,200",Yes,fixed,,Nil,Nil,08-Jan-2026 10:00 AM,20-Jan-2026 11:00 AM,08-Jan-2026 10:00 AM,19-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 10:00 AM,19-Jan-2026 05:00 PM,Construction of Pavor Block road with CC drain from Maksud Allam house to Ranjit house in W.No.19,Construction of Pavor Block road with CC drain from Maksud Allam house to Ranjit house in W.No.19,Please refer Tender documents. ,NA ,"16,20,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,1.0,ICICI BANK,AOC,Nimai Charan Panda,Internal,,Nilakantha Kisan,27-Feb-2026 11:55 AM,finsummary_574827.pdf (258.63 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,27-Feb-2026 11:48 AM,techsummary_574827.pdf (258.63 KB),Municipal Bodies||Belpahar Municipal Council,2026_ORULB_124268_25,EO/BPHM/05/25-26,Construction of Pavor Block road with CC drain from Maksud Allam house to Ranjit house in W.No.19,1.0,3358714.0,J. Rajendra Dora,INR,"1,377,485",1,3359835,BIBHUTI PRASAD RANA,19-Jan-2026 02:54 PM,Rejected-AOC,Not win the lottery,27-Feb-2026 12:00 PM,27-Feb-2026,"INR 1,377,485",120.0,Nilakantha Kisan,27-Feb-2026 12:00 PM,25.pdf (239.00 KB),Finance,ok,Nilakantha Kisan,29-Jan-2026 12:59 PM,finance_574827.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3358041,Bigyan Ranjan Swain,17-Jan-2026 11:32 AM,Rejected-AOC,Not win the lottery,27-Feb-2026 12:00 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3358724,Debendra Sahu,18-Jan-2026 07:42 PM,Rejected-AOC,Not win the lottery,27-Feb-2026 12:00 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3359660,Indrani Mohanta,19-Jan-2026 01:46 PM,Rejected-AOC,Not win the lottery,27-Feb-2026 12:00 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3358714,J. Rajendra Dora,18-Jan-2026 07:33 PM,Accepted-AOC,Tender finalised through transparent lottery system drawn among L1 bidders and winner of lottery,27-Feb-2026 12:00 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3358889,SUBHRAJEET JENA,18-Jan-2026 07:30 PM,Rejected-AOC,Not win the lottery,27-Feb-2026 12:00 PM,,,,,,,,,,,,,AOC
