Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EE RnB Division Cuttack-II,SE CTC (RnB)-II -07 of 2025-26,2025_EICCL_115174_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,S.E CUTTACK RANDB DIV II,S.E CUTTACK RANDB DIV II OMP SQUARE CUTTACK,"52,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,07-Jul-2025 02:00 PM,22-Jul-2025 11:00 AM,07-Jul-2025 02:00 PM,21-Jul-2025 05:00 PM,NA ,NA ,07-Jul-2025 02:00 PM,21-Jul-2025 05:00 PM,26-Aug-2025 04:00 PM,Repair and renovation to Leprosy Home and Hospital at Nayabazar Cuttack,Repair and renovation to Leprosy Home and Hospital at Nayabazar Cuttack,AS PER DTCN ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,120.0,NAYABAZAR,753004.0,NA ,NA ,NA ,S.E CUTTACK RANDB DIV II,No ,No,AOC,03-Feb-2026,"INR 5,215,593",120.0,Jyoti Ranjan Pati,03-Feb-2026 12:53 PM,AOC.pdf (542.00 KB),1,3007102,ADITYA KUMAR DAS,21-Jul-2025 03:02 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,SE,Internal,SE DAO,Chhabi Prava Sahu,25-Aug-2025 06:37 PM,26-Aug-2025 04:00 PM,techsummary_545248.pdf (624.63 KB),1.0,Revoke,due to some unavoidable circumstances,25-Aug-2025 06:10 PM,corr.pdf ,476.6,Technical Opening,Finance,Summary,Jyoti Ranjan Pati,02-Feb-2026 06:18 PM,finance_545248.pdf,BOQ Comparative Chart,Technical,Summary,Chhabi Prava Sahu,25-Aug-2025 06:32 PM,technical_545248.pdf,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EE RnB Division Cuttack-II,2025_EICCL_115174_1,SE CTC (RnB)-II -07 of 2025-26,Repair and renovation to Leprosy Home and Hospital at Nayabazar Cuttack,SE,Internal,SE DAO I ESTIMATOR,Jyoti Ranjan Pati,03-Feb-2026 12:41 PM,finsummary_545248.pdf (252.15 KB),1.0,3004258.0,DIPTIREKHA BEHERA,INR,"4,419,994.33",AOC
,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3004731,AMITABH SWAIN,19-Jul-2025 10:50 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3002147,ASHIS DAS,17-Jul-2025 01:15 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3007399,"BIBHUTI BHUSAN SATAPATHY,Prop.- M/S ADITYA HELPLINES",21-Jul-2025 04:38 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3005666,BISWANATH BEHERA,20-Jul-2025 09:12 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3007303,DEBASHISH DAS,21-Jul-2025 04:10 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3004258,DIPTIREKHA BEHERA,19-Jul-2025 04:07 PM,Accepted-AOC,w,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3005085,Girija Shankar Mishra,21-Jul-2025 01:44 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2999264,GYANATOYA PATTNAIK,14-Jul-2025 04:55 PM,Rejected-Technical,Disqualified,25-Aug-2025 06:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3004718,JAGANNATH HEMBRAM,19-Jul-2025 10:28 PM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,11,3005959,JAY DURGA BUILDCON PRIVATE LIMITED,21-Jul-2025 02:08 AM,Rejected-AOC,L,03-Feb-2026 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
