Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
D S Jena,Internal,,DUSHASAN JENA,10-Dec-2025 05:41 PM,11-Dec-2025 11:00 AM,techsummary_550653.pdf (61.79 KB),Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2025_OLIC_117457_4,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,Installation and Energization of Balipatna (Basudevpur) TW Project under Dhamnagar Block,1.0,3071027.0,AMALENDU NAYAK,INR,"2,395,284",1,3071027,AMALENDU NAYAK,10-Sep-2025 12:41 PM,Accepted-AOC,Bidder awarded of work after winning the lottery in the presence of bidders and Tender Committee,03-Feb-2026 06:38 PM,Technical,Technical Bid Opened,DUSHASAN JENA,11-Sep-2025 01:21 PM,technical_550653.pdf,Finance,Admitted,DUSHASAN JENA,11-Dec-2025 12:26 PM,finance_550653.pdf,BOQ Comparative Chart,03-Feb-2026,"INR 2,395,284",90.0,DUSHASAN JENA,03-Feb-2026 06:38 PM,BalipatnaBasudevpurTW.pdf (68.00 KB),Awarded of Work,D S Jena,Internal,,DUSHASAN JENA,03-Feb-2026 06:32 PM,finsummary_550653.pdf (61.79 KB),AOC,1.0,ICICI BANK,Installation and Energization of Balipatna (Basudevpur) TW Project under Dhamnagar Block,Installation and Energization of Balipatna (Basudevpur) TW Project under Dhamnagar Block,Please refer Tender documents. ,NA ,"23,87,839",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I. Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I. Division, Bhadrak",No ,No,"7,080",0.0,Nil,Nil,No,"23,878",Yes,percentage,1.0%,Nil,Nil,01-Sep-2025 11:00 AM,11-Sep-2025 11:00 AM,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,01-Sep-2025 11:00 AM ,10-Sep-2025 05:00 PM ,01-Sep-2025 11:00 AM,10-Sep-2025 05:00 PM,11-Dec-2025 11:00 AM,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2025-26(3086)/OLIC(BDK)/Dt. 25.08.2025,2025_OLIC_117457_4,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"E.E, L.I. Division, Bhadrak","E.E, L.I. Division, Bhadrak",1.0,Fee/PreQual/Technical,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,2,3071435,Bibekananda Pati,09-Sep-2025 03:19 PM,Rejected-AOC,Rejected,03-Feb-2026 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Call Notice,AOC
,,,,,,,,,,,,,,,,3,3068741,KARTIKA CHANDRA PUSTI,10-Sep-2025 04:42 PM,Rejected-AOC,Rejected,03-Feb-2026 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,4,3071252,LAKSHMIMANI GIRI,10-Sep-2025 02:25 PM,Rejected-Finance,Rejected,03-Feb-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3073838,POWERTECH ENGINEERING.TAPAS RANJAN PATI,10-Sep-2025 01:24 PM,Rejected-AOC,Rejected,03-Feb-2026 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
