Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Parlakhemundi Municipal Council,05/PKDM-2025-26,2025_ORULB_122577_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,501",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,06-Dec-2025 10:00 AM,19-Dec-2025 11:00 AM,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,06-Dec-2025 10:00 AM,18-Dec-2025 05:00 PM,"Beautification at C.T. Training School opposite, Ward No-4",Beautification at C.T. Training School opposite,Please refer Tender documents. ,NA ,"2,50,114",Civil Works - Others,NA ,Tender,90.0,60.0,Paralakhemundi Municipality,761200.0,NA ,NA ,NA ,Paralakhemundi Municipality,No ,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT AND DTCN,"Executive Officer, Paralakhemundi Municipality","Executive Officer, Paralakhemundi Municipality",AOC,"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,02-Feb-2026 12:04 PM,finsummary_569467.pdf (2567.05 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,02-Feb-2026 12:02 PM,techsummary_569467.pdf (2567.05 KB),02-Feb-2026,"INR 250,114",60.0,LAXMAN KUMAR MURMU,02-Feb-2026 12:09 PM,14.pdf (514.00 KB),1.0,3312342.0,TOKA VAMSU KUMAR,INR,"250,114",Municipal Bodies||Parlakhemundi Municipal Council,2025_ORULB_122577_14,05/PKDM-2025-26,"Beautification at C.T. Training School opposite, Ward No-4",1,3313068,LOPINTI REKHA,18-Dec-2025 08:36 AM,Rejected-AOC,L2,02-Feb-2026 12:09 PM,Finance,It will be finalized by the Tender Committee,LAXMAN KUMAR MURMU,24-Dec-2025 11:58 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3312342,TOKA VAMSU KUMAR,17-Dec-2025 08:11 PM,Accepted-AOC,L1,02-Feb-2026 12:09 PM,,,,,,,AOC
