S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_72,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents","13,442",Yes,percentage,1.0%,Nil,Nil,"7,080",0.0,Nil,Nil,No,Revival of Tarekela-III L.I. Project under Kolabira block in Jharsuguda District,Revival of Tarekela-III L.I. Project under Kolabira block in Jharsuguda District,Please refer Tender documents. ,NA ,"13,44,185",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Kolabira,768213.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,AOC,Technical,Tender Open,CHITARANJAN PRADHAN,02-Dec-2025 11:31 AM,technical_566061.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_72,EEOLICSBP-03/2025-26,Revival of Tarekela-III L.I. Project under Kolabira block in Jharsuguda District,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,28-Feb-2026 11:33 AM,finsummary_566061.pdf (818.12 KB),1.0,3270142.0,N GOPAL KRISHNA,INR,"1,142,691.61",28-Feb-2026,"INR 1,142,691.61",90.0,CHITARANJAN PRADHAN,28-Feb-2026 01:00 PM,72.pdf (818.00 KB),Agreement Done,1,3268130,ADVIK CONSTRUCTIONS PROP-ALIN KUMAR NAYAK,30-Nov-2025 06:17 PM,Rejected-Finance,Not Called for agreement,28-Feb-2026 11:33 AM,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,20-Dec-2025 10:28 AM,20-Dec-2025 05:00 PM,techsummary_566061.pdf (640.65 KB),Finance,Financial Open,CHITARANJAN PRADHAN,20-Dec-2025 06:00 PM,finance_566061.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3264655,NAYAK AND BHOTHARS,30-Nov-2025 07:16 PM,Rejected-Finance,Not Called for agreement,28-Feb-2026 11:33 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3270142,N GOPAL KRISHNA,01-Dec-2025 04:21 PM,Accepted-AOC,Award of Contract,28-Feb-2026 01:01 PM,,,,,,,,,,,,,,AOC
