S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3113949.0,JYOTISMITA SAHU,INR,"563,038.6",Finance,summary,Ashok Kumar Sethi,04-Feb-2026 02:41 AM,finance_554162.pdf,BOQ Comparative Chart,se,Internal,,Ashok Kumar Sethi,04-Feb-2026 02:59 AM,finsummary_554162.pdf (121.17 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_118683_6,Bid Identification No.- 11/ MIDA / 2025-26,Repair And Improvement To Sunusunia Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,se,Internal,,Ashok Kumar Sethi,04-Feb-2026 02:44 AM,techsummary_554162.pdf (121.17 KB),04-Feb-2026,"INR 563,038.6",90.0,Ashok Kumar Sethi,04-Feb-2026 03:03 AM,sunusuniaiimpcd.pdf (121.00 KB),1,3110979,ARATI JENA,05-Oct-2025 03:22 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,Repair And Improvement To Sunusunia Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Sunusunia Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Please refer Tender documents. ,NA ,"6,62,000",Civil Works - Others,NA ,Rate Contract,90.0,90.0,GHATAGAON,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN",26-Sep-2025 10:00 AM,13-Oct-2025 10:00 AM,26-Sep-2025 10:05 AM,10-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:10 AM,10-Oct-2025 05:00 PM,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD","4,000",0.0,Nil,Nil,No,"6,700",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 11/ MIDA / 2025-26,2025_CEMIB_118683_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3120379,BHAGABAN BEHERA,09-Oct-2025 04:26 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3109938,BIJAY KUMAR SAHOO,04-Oct-2025 05:58 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3101684,DURYODHAN SAHOO,27-Sep-2025 08:25 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3121388,JAY MAHADEV CONSTRUCTION,10-Oct-2025 01:41 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3113949,JYOTISMITA SAHU,07-Oct-2025 08:29 PM,Accepted-AOC,aoc,04-Feb-2026 03:04 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3107408,Mamata Mayee Mishra,03-Oct-2025 03:06 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3121303,MITALI SWAIN,10-Oct-2025 02:29 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3111550,PRITIPRAVA GHADEI,06-Oct-2025 12:37 AM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3113159,RANJAN KUMAR BEHERA,06-Oct-2025 08:30 PM,Rejected-Finance,Lottery,04-Feb-2026 02:59 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
