Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
17-Feb-2026,"INR 1,442,748",90.0,Soumya Ranjan Mishra,17-Feb-2026 04:14 PM,wocs14.pdf (1732.00 KB),1.0,3088818.0,Smt. SABITA SAHOO,INR,"1,442,748",Municipal Bodies||Choudwar Municipality,2025_ORULB_117505_14,CHM-02/2025-2026,Improvement of Road From Bijay Biswal res to MD Diwerdy res in Housing Board Colony Phase ii in Ward No 19 of choudwar municipality,1,3088841,ASHOK KUMAR DAS,19-Sep-2025 06:05 PM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,Finance,"The Tender has been opened in presence of EO,ME,JE",Patitapaban Pattnayak,23-Sep-2025 12:49 PM,finance_551071.pdf,BOQ Comparative Chart,EO,Internal,,Soumya Ranjan Mishra,17-Feb-2026 04:12 PM,finsummary_551071.pdf (1732.16 KB),EO,Internal,,Soumya Ranjan Mishra,17-Feb-2026 04:06 PM,techsummary_551071.pdf (267.22 KB),AOC,1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,Improvement of Road From Bijay Biswal res to MD Diwerdy res in Housing Board Colony Phase ii in Ward No 19 of choudwar municipality,Improvement of Road From Bijay Biswal res to MD Diwerdy res in Housing Board Colony Phase ii in Ward No 19 of choudwar municipality,Please refer Tender documents. ,NA ,"16,97,151",Civil Works - Roads,NA ,Tender,90.0,NA ,Choudwar Municipality,754071.0,NA ,NA ,NA ,Choudwar Municipality,No ,No,"Executive Officer, Choudwar Municipality",Choudwar Municipality,"16,972",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,Municipal Bodies||Choudwar Municipality,CHM-02/2025-2026,2025_ORULB_117505_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Sep-2025 11:00 AM,22-Sep-2025 11:00 AM,06-Sep-2025 11:00 AM,20-Sep-2025 05:00 PM,NA ,NA ,06-Sep-2025 11:00 AM,20-Sep-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3089628,ASHOK KUMAR SAHOO,20-Sep-2025 10:11 AM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,As Per BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3090439,BHARATI DALAI,20-Sep-2025 01:56 PM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3085064,DIPAK KUMAR PRUSTY,18-Sep-2025 03:41 PM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3087024,GANESH CHANDRA BEHERA,19-Sep-2025 11:09 AM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3089498,KRISHNA GLOBAL SOLUTIONS,20-Sep-2025 01:31 AM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3088171,MAHESWAR BHOI,19-Sep-2025 08:02 PM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3089702,PRAMOD SAMAL,20-Sep-2025 11:38 AM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3088818,Smt. SABITA SAHOO,20-Sep-2025 09:59 AM,Accepted-AOC,L1,17-Feb-2026 04:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3089539,SUSANTA KUMAR BEHERA,20-Sep-2025 12:16 AM,Rejected-Finance,REJECT,17-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
