Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Sunakhandi Check dam over Sunajore nalla near village Kurga in Tangarpali Block of Sundargarh District under MATY Scheme 2025-26.,Construction of Sunakhandi Check dam over Sunajore nalla near village Kurga in Tangarpali Block of Sundargarh District under MATY Scheme 2025-26.,B class contractor ,NA ,"49,96,611",Civil Works - Others,check dam ,Tender,90.0,120.0,Tangarpali Block,770011.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 07/2025-26,2025_CEMIB_118652_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,26-Sep-2025 10:00 AM,08-Oct-2025 11:00 AM,26-Sep-2025 10:00 AM,06-Oct-2025 05:30 PM,26-Sep-2025 10:00 AM ,06-Oct-2025 05:30 PM ,26-Sep-2025 10:00 AM,06-Oct-2025 05:30 PM,"49,966",Yes,percentage,1.0%,Nil,Nil,"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi","6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate",AOC,19-Nov-2025,"INR 4,247,618.8",120.0,DHIRENDRA KUMAR NAIK,06-Feb-2026 12:07 PM,sunakhandi.pdf (756.00 KB),The tender of Sri Priyam kumar Naik B class Engg.contractor decided in Transparent Lottery Amounting to Rs 4247618.80 being 14.99 percent less than the Tendered value is accepted.,1,3112386,BHARAT SETH,06-Oct-2025 03:34 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,01-Nov-2025 05:13 PM,techsummary_554023.pdf (877.61 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_118652_1,SE MID SNG 07/2025-26,Construction of Sunakhandi Check dam over Sunajore nalla near village Kurga in Tangarpali Block of Sundargarh District under MATY Scheme 2025-26.,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,01-Nov-2025 05:18 PM,finsummary_554023.pdf (877.61 KB),Finance,All the 10 nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence all the valid tenders have been taken into CS.,DHIRENDRA KUMAR NAIK,01-Nov-2025 05:10 PM,finance_554023.pdf,BOQ Comparative Chart,1.0,3111713.0,PRIYAM KUMAR NAIK,INR,"4,247,618.8",AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,2,3110966,JAJATI KESHARI NAIK,05-Oct-2025 03:02 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3112424,KIRTIMEGHA PARIJA,06-Oct-2025 03:24 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3112775,MANOJ KUMAR CHOUDHURY,06-Oct-2025 05:24 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3111962,MARIYAM KISPOTTA,06-Oct-2025 12:32 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3111863,PRIYADARSHI RANA,06-Oct-2025 11:32 AM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3111713,PRIYAM KUMAR NAIK,06-Oct-2025 08:57 AM,Accepted-AOC,Accepted,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3110160,PRIYA RANJAN PATTNAIK,04-Oct-2025 08:18 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3111579,RAJ KUMAR PATEL,05-Oct-2025 10:38 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3110265,RASMITA NAIK,04-Oct-2025 09:42 PM,Rejected-AOC,Rejected,06-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
