S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3299123.0,Manas Ranjan Panda,INR,"8,472,834.34",EE,Internal,,Jelin Sheela Kerkatta,05-Feb-2026 06:15 PM,finsummary_569973.pdf (1098.19 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,2025_CERWI_122734_1,Online-03/2025-26,"Rampatraput to Kiramguda (Includes Gumuda to Sanasirisi, via Salapiaguda )_Road_SDBC, WMM, Surface dressing, Earth work, road signage_0/000 to 6/000",Technical,16nos valid bidder,Jelin Sheela Kerkatta,18-Dec-2025 02:15 PM,,Finance,15nos. of valid bidders.,Debashis Mandal,26-Dec-2025 11:51 AM,,BOQ Comparative Chart,EE,Internal,,Debashis Mandal,25-Dec-2025 01:58 PM,26-Dec-2025 11:00 AM,techsummary_569973.pdf (649.81 KB),1,3294136,A KRUSHNA KUMAR DORA,10-Dec-2025 08:46 PM,Rejected-Finance,3,05-Feb-2026 06:15 PM,05-Feb-2026,"INR 8,472,834.34",90.0,Jelin Sheela Kerkatta,05-Feb-2026 06:20 PM,WOCSrampatraput.pdf (1098.00 KB),Manas Ranjan Panda,AOC,1.0,Online TCN-03/2025-26,Other,,Divisional Officer,"RURAL WORKS DIVISION, JEYPORE",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"99,668",Yes,fixed,,Nil,Nil,"Rampatraput to Kiramguda (Includes Gumuda to Sanasirisi, via Salapiaguda )_Road_SDBC, WMM, Surface dressing, Earth work, road signage_0/000 to 6/000","Rampatraput to Kiramguda (Includes Gumuda to Sanasirisi, via Salapiaguda )_Road_SDBC, WMM, Surface dressing, Earth work, road signage_0/000 to 6/000",NA ,NA ,"99,66,868",Civil Works - Roads,NA ,Tender,90.0,90.0,Koraput,764001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JEYPORE",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RW Division Jeypore,Online-03/2025-26,2025_CERWI_122734_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"DTCN, TCN, LICENCE, AFFIDAVIT, GSTIN, PAN, BID COST EMD, Machinary, Work expirience etc",06-Dec-2025 05:00 PM,15-Dec-2025 10:00 AM,06-Dec-2025 05:00 PM,13-Dec-2025 05:00 PM,06-Dec-2025 05:00 PM ,13-Dec-2025 01:30 PM ,06-Dec-2025 05:00 PM,13-Dec-2025 05:00 PM,26-Dec-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3296286,AMIT KUMAR SAHU,11-Dec-2025 09:05 PM,Rejected-Finance,6,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3298032,AMLANJYOTI PATNAIK,12-Dec-2025 04:37 PM,Rejected-Finance,12,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3292381,Bharat Mirgan,11-Dec-2025 06:34 PM,Rejected-Finance,2,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3294178,DEEPAK PADHY,11-Dec-2025 08:21 PM,Rejected-Finance,4,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3297185,HANUMAN PRASAD AGRAWAL,12-Dec-2025 02:29 PM,Rejected-Finance,10,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3297034,HITESH KUMAR SHARMA,12-Dec-2025 04:45 PM,Rejected-Finance,9,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3296981,K. MOULIDHAR,12-Dec-2025 03:46 PM,Rejected-Finance,8,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3299123,Manas Ranjan Panda,13-Dec-2025 10:33 AM,Accepted-AOC,Successful,05-Feb-2026 06:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3296502,NARAYAN TANTI,12-Dec-2025 10:13 AM,Rejected-Finance,7,05-Feb-2026 06:15 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
