Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 05:37 PM,22-Dec-2025 10:00 AM,techsummary_565878.pdf (1478.46 KB),Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 03:16 PM,finance_565878.pdf,BOQ Comparative Chart,13-Feb-2026,"INR 4,284,687.46",120.0,CHITARANJAN PRADHAN,13-Feb-2026 01:08 PM,46.pdf (682.00 KB),Agreement Done,1,3269519,BIKRAM SATAPATHY,01-Dec-2025 01:24 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 05:37 PM,1.0,3269342.0,SRIPADA DAS,INR,"4,284,687.46",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_46,EEOLICSBP-03/2025-26,Installation of Chilantikud L.I. Project under Jujomura block in Sambalpur District,Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 10:42 AM,technical_565878.pdf,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,13-Feb-2026 12:25 PM,finsummary_565878.pdf (606.05 KB),AOC,"50,402",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Installation of Chilantikud L.I. Project under Jujomura block in Sambalpur District,Installation of Chilantikud L.I. Project under Jujomura block in Sambalpur District,Please refer Tender documents. ,NA ,"50,40,216",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Jujomura,768105.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,"11,800",0.0,Nil,Nil,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_46,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,3267325,DIPAK RANJAN BEHERA,29-Nov-2025 08:58 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3268687,JAYAJIT KUMAR SAHOO,01-Dec-2025 12:47 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3267571,KISANPRAKASH DAS,30-Nov-2025 04:07 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3267777,MISHRA ELECTRICAL AND CONSTRUCTION,30-Nov-2025 01:46 PM,Rejected-Technical,He has only one year experience certificate uploaded,21-Dec-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3267225,MOHAMMAD ANISH,30-Nov-2025 10:32 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3268366,MS Shree Shyam and Co,01-Dec-2025 01:58 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3268397,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 10:00 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3263622,PRAKASH KUMAR SWAIN,30-Nov-2025 09:05 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3268163,RAKESH RANJAN SAHU,30-Nov-2025 08:24 PM,Rejected-AOC,Not Award of Contract,13-Feb-2026 01:08 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
