Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 04:17 PM,finance_565910.pdf,BOQ Comparative Chart,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 06:48 PM,22-Dec-2025 10:00 AM,techsummary_565910.pdf (496.94 KB),04-Feb-2026,"INR 8,726,597.38",120.0,CHITARANJAN PRADHAN,04-Feb-2026 12:01 PM,55.pdf (916.00 KB),Agreement Done,1,3267040,DEBADATTA KHAMARI,01-Dec-2025 12:47 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,1.0,3267675.0,KESHAB CHANDRA SAHU,INR,"8,726,597.38",Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,04-Feb-2026 10:54 AM,finsummary_565910.pdf (527.10 KB),Technical,Tender Open,CHITARANJAN PRADHAN,02-Dec-2025 01:36 PM,technical_565910.pdf,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_55,EEOLICSBP-03/2025-26,Installation of Badmal-X and Badmal-XI L.I. Project under Rairakhol block in Sambalpur District,AOC,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",Installation of Badmal-X and Badmal-XI L.I. Project under Rairakhol block in Sambalpur District,Installation of Badmal-X and Badmal-XI L.I. Project under Rairakhol block in Sambalpur District,Please refer Tender documents. ,NA ,"1,02,65,377",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Rairakhol,768106.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_55,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,"1,02,654",Yes,percentage,1.0%,Nil,Nil,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,2,3267675,KESHAB CHANDRA SAHU,30-Nov-2025 06:00 PM,Accepted-AOC,Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,3,3268540,MAHIMA CONSTRUCTION PROPRIETOR SRI SRIKANTA DEHURY,30-Nov-2025 11:04 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3262881,MANDAKINI ENGINEERING,28-Nov-2025 03:04 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3267233,MOHAMMAD ANISH,30-Nov-2025 10:38 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3266631,M/S DILIP KUMAR SAHOO,01-Dec-2025 12:07 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3268389,MS Shree Shyam and Co,01-Dec-2025 01:24 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3268447,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 09:47 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3261026,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 12:42 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3263542,PRAKASH KUMAR SWAIN,30-Nov-2025 06:24 PM,Rejected-AOC,Not Award of Contract,04-Feb-2026 12:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
