S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3114639.0,SHATRUGHNA PRUSHTI,INR,"254,237",Finance,11 nos. of bidders have quoted same rate and accepted.,Ansuman Parida,23-Oct-2025 12:37 PM,,BOQ Comparative Chart,"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,11-Feb-2026 01:18 PM,finsummary_554027.pdf (285.20 KB),Municipal Bodies||Nilgiri NAC,2025_ORULB_118659_1,NLGN _07/2025-26,"Constr. Of R.C.C drain with cover slab from L.N Panda Badi house to PWD road at Pathuria, W.No.04.","Chairman, Nilgiri NAC",Internal,,Ansuman Parida,24-Oct-2025 02:09 PM,techsummary_554027.pdf (380.89 KB),1,3114775,ASHOK KUMAR MOHAPATRA,07-Oct-2025 07:21 PM,Rejected-AOC,L2,11-Feb-2026 01:26 PM,11-Feb-2026,"INR 254,237",30.0,Ansuman Parida,11-Feb-2026 01:26 PM,WO8.pdf (285.00 KB),AOC,Municipal Bodies||Nilgiri NAC,NLGN _07/2025-26,2025_ORULB_118659_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,542",Yes,percentage,1.0%,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN and as per DTCN",1.0,ICICI BANK,"Constr. Of R.C.C drain with cover slab from L.N Panda Badi house to PWD road at Pathuria, W.No.04.","Constr. Of R.C.C drain with cover slab from L.N Panda Badi house to PWD road at Pathuria, W.No.04.",Please refer Tender documents. ,NA ,"2,54,237",Civil Works - Roads,NA ,Tender,120.0,NA ,DTCN,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,"Executive Officer, Nilgiri NAC","Nilgiri NAC, Nilgiri, Dist-Balasore, 756040",26-Sep-2025 10:00 AM,14-Oct-2025 11:00 AM,26-Sep-2025 10:00 AM,13-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:00 AM,13-Oct-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3124933,GAYADHARA BEHERA,13-Oct-2025 08:00 AM,Rejected-AOC,L8,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3125476,HARISH CHANDRA RAY,13-Oct-2025 03:29 PM,Rejected-AOC,L10,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3120350,KOUSALYA MISHRA,10-Oct-2025 03:55 PM,Rejected-AOC,L4,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3125982,KRUTIBASH NANDA,13-Oct-2025 02:54 PM,Rejected-AOC,L11,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3122854,NILAMBAR MOHAPATRA,10-Oct-2025 09:27 PM,Rejected-AOC,L7,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3122740,PARTHASARATHI NAYAK,13-Oct-2025 11:10 AM,Rejected-AOC,L6,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3125358,RABINDRA NATH PARIDA,13-Oct-2025 12:50 PM,Rejected-AOC,L9,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3112297,RAMAKRUSHNA MOHAPATRA,06-Oct-2025 04:21 PM,Rejected-AOC,L3,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3114639,SHATRUGHNA PRUSHTI,07-Oct-2025 06:21 PM,Accepted-AOC,L1,11-Feb-2026 01:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
