Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,2 nos. of bidder have participated in bidding process,Kadambini Jena,10-Feb-2026 12:17 PM,finance_567174.pdf,BOQ Comparative Chart,1,3284152,Bharat Chandra Biswal,07-Dec-2025 03:41 PM,Accepted-AOC,As per quoted rate,10-Feb-2026 12:25 PM,Municipal Bodies||Pipli NAC,2025_ORULB_121427_32,PIPILI-NAC-5(71)/2025-26,Construction of CC road from Sridhar Biswal House to Sadananda Sahu Plot in Ward No 01,1.0,3284152.0,Bharat Chandra Biswal,INR,"423,957.74",10-Feb-2026,"INR 423,957.74",60.0,Kadambini Jena,10-Feb-2026 12:24 PM,WO.pdf (208.00 KB),Chairperson,Internal,,Kadambini Jena,10-Feb-2026 12:20 PM,techsummary_567174.pdf (655.70 KB),Chairperson,Internal,,Kadambini Jena,10-Feb-2026 12:22 PM,finsummary_567174.pdf (655.70 KB),AOC,"Executive Officer, pipli NAC","Office of the Executive officer, Pipli NAC, Pipli",1,ICICI BANK,27-Nov-2025 12:00 PM,09-Dec-2025 11:00 AM,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,NA ,NA ,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Regist_of_licence_GST_Regd_PAN_Paper_cost_Affidavit_Decl_and_other_doc_as_per_DTCN,"2,000",0.0,Nil,Nil,No,"4,300",Yes,fixed,,Nil,Nil,Construction of CC road from Sridhar Biswal House to Sadananda Sahu Plot in Ward No 01,Construction of CC road from Sridhar Biswal House to Sadananda Sahu Plot in Ward No 01,Please refer Tender documents. ,NA ,"4,23,897",Civil Works - Roads,NA ,Tender,90.0,60.0,Pipli NAC,752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC, Pipli",No ,No,1.0,Having no experience,Other,,Municipal Bodies||Pipli NAC,PIPILI-NAC-5(71)/2025-26,2025_ORULB_121427_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,2,3284241,M/S MUSKAN CONSTRUCTION,07-Dec-2025 04:03 PM,Rejected-AOC,As per quoted rate,10-Feb-2026 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
