Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
03-Dec-2025 10:00 AM,15-Dec-2025 10:00 AM,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 10:00 AM,12-Dec-2025 05:00 PM,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",05/BGR/2025-26,2025_CEMIB_122473_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"SE, M.I. Division,Balangir","O/o the SE, M.I. Division,Balangir","8,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, valid GST, Valid PAN, Affidavit, NRC, Tender Cost, EMD, any other documents as per DTCN",Improvement to L.M.C. of Kumuriakata MIP in Deogaon Block of Balangir District under ERM scheme for the year 2025-26,Improvement to L.M.C. of Kumuriakata MIP in Deogaon Block of Balangir District under ERM scheme for the year 2025-26,Please refer Tender documents. ,NA ,"8,39,530",Civil Works - Water Works,NA ,Tender,90.0,90.0,DEOGAON,767029.0,NA ,NA ,NA ,"O/o the SE, M.I. Division,Balangir",No ,No,AOC,RN SETHI,Internal,,Rabindranath Sethi,10-Feb-2026 12:04 PM,finsummary_568974.pdf (347.02 KB),RN SETHI,Internal,,Rabindranath Sethi,10-Feb-2026 12:00 PM,techsummary_568974.pdf (347.02 KB),10-Feb-2026,"INR 842,147",90.0,Rabindranath Sethi,10-Feb-2026 12:19 PM,kumuriakata.pdf (324.00 KB),1.0,3297797.0,FAKIR MOHAN DAS,INR,"842,147","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",2025_CEMIB_122473_21,05/BGR/2025-26,Improvement to L.M.C. of Kumuriakata MIP in Deogaon Block of Balangir District under ERM scheme for the year 2025-26,1,3293837,ARATI BAHINIPATI,10-Dec-2025 06:20 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,Finance,RN SETHI,Rabindranath Sethi,10-Feb-2026 11:57 AM,finance_568974.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3297156,BHARAT CHANDRA PANIGRAHI,12-Dec-2025 12:27 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3297797,FAKIR MOHAN DAS,12-Dec-2025 02:30 PM,Accepted-AOC,Accepted,10-Feb-2026 12:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3293081,GOURI MEHER,10-Dec-2025 01:27 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3296903,GURUDEV SUNA,12-Dec-2025 11:12 AM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3294692,MANORAMA SATAPATHY,11-Dec-2025 11:46 AM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3292853,Pooja Jain,10-Dec-2025 12:28 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3293722,PRAFULLA KUMAR SARANGI,10-Dec-2025 05:28 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3297262,PRATAP KISHOR NAIK,12-Dec-2025 04:10 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3291133,PREMANANDA BEHERA,09-Dec-2025 12:22 PM,Rejected-Finance,Rejected,10-Feb-2026 12:04 PM,,,,,,,AOC
