Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
17-Feb-2026,"INR 3,209,901",150.0,Raghunath Swain,17-Feb-2026 12:10 PM,10.PDF (134.00 KB),1.0,2957262.0,PITABAS JENA,INR,"3,209,901","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_114118_10,SEPRD-04/2025-26,Restoration to KSDR embankment with construction of toe wall from RD 62.40 to 63.00 KM,1,2964621,ABANIKANTA JENA,16-Jun-2025 03:39 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,Finance,Bid Opened,Raghunath Swain,23-Jun-2025 01:42 PM,,BOQ Comparative Chart,SE PRACHI DIVISION,Internal,,Kirti Kasturika,28-Jul-2025 06:38 PM,finsummary_541946.pdf (279.95 KB),SE PRACHI DIVISION,Internal,,Kirti Kasturika,28-Jul-2025 06:33 PM,techsummary_541946.pdf (279.95 KB),AOC,Superintending Engineer prachi division,"Superintending Engineer Prachi Division, Bhubaneswar","37,800",Yes,fixed,,Nil,Nil,05-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,NA ,NA ,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Restoration to KSDR embankment with construction of toe wall from RD 62.40 to 63.00 KM,Restoration work,Please refer Tender documents. ,NA ,"37,75,909",Civil Works - Canal,NA ,Tender,90.0,NA ,niali,754004.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-04/2025-26,2025_CELBB_114118_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN",AOC
,,,,,,,,,,,,,,,2,2962304,ABINASH NAYAK,11-Jun-2025 07:26 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,3,2961226,ALOKA SAMANTARAY,16-Jun-2025 01:43 AM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2969126,AMARESWAR SWAIN,16-Jun-2025 02:25 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2969822,AMIYA KUMAR MOHAPATRA,16-Jun-2025 05:29 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2969347,BHABANI SANKAR CHOUDHURY,16-Jun-2025 03:23 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2964802,BHAGYARATHI MALLICK,13-Jun-2025 08:48 AM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2969568,BINAYA KUMAR JENA,16-Jun-2025 04:13 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2969795,BISWABIJAYEE BEHERA,16-Jun-2025 05:13 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2966741,BISWAJIT BISWAL,14-Jun-2025 03:10 PM,Rejected-Technical,disqualified,28-Jul-2025 06:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
