Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,5 Nos of bidder participated,Pragyan Devi,11-Feb-2026 11:56 AM,finance_566832.pdf,BOQ Comparative Chart,1.0,3278585.0,M/S AJIT KUMAR MALLICK,INR,"178,408",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,2025_CERWI_121930_4,Online Tender/09/SERWD PHULBANI/2025-26,S/R to RW Section Office at Gochhapada for the year 2025-26,S.E,Internal,,Pragyan Devi,11-Feb-2026 12:04 PM,finsummary_566832.pdf (123.36 KB),S.E,Internal,,Pragyan Devi,11-Feb-2026 12:00 PM,techsummary_566832.pdf (123.36 KB),11-Feb-2026,"INR 178,408",30.0,Kartikeswar Sahu,11-Feb-2026 12:26 PM,gochhapadaaoc.pdf (736.00 KB),1,3269276,CH MOHAN PRASAD SUBUDHI,04-Dec-2025 12:03 PM,Rejected-AOC,Unsuccessful bidder,11-Feb-2026 12:27 PM,AOC,"2,100",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,000",0.0,Nil,Nil,Yes,28-Nov-2025 06:00 PM,05-Dec-2025 11:30 AM,28-Nov-2025 06:00 PM,04-Dec-2025 05:00 PM,28-Nov-2025 06:00 PM ,03-Dec-2025 03:00 PM ,28-Nov-2025 06:00 PM,04-Dec-2025 05:00 PM,"OO the SE,RWD,PHULBANI","OO the SE,RWD,PHULBANI",S/R to RW Section Office at Gochhapada for the year 2025-26,S/R to RW Section Office at Gochhapada for the year 2025-26,S/R to RW Section Office at Gochhapada for the year 2025-26 ,NA ,"2,10,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"OO the SE,RWD,PHULBANI",762001.0,NA ,NA ,NA ,"OO the SE,RWD,PHULBANI",No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-PHULBANI,Online Tender/09/SERWD PHULBANI/2025-26,2025_CERWI_121930_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3274784,Jeetendra Kumar Pradhan,03-Dec-2025 05:28 PM,Rejected-AOC,Unsuccessful bidder,11-Feb-2026 12:27 PM,AOC,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3278585,M/S AJIT KUMAR MALLICK,04-Dec-2025 04:17 PM,Accepted-AOC,Successful bidder selected from transparent lottery system,11-Feb-2026 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3276519,SURENDRA KUMAR SAHOO,03-Dec-2025 08:55 PM,Rejected-AOC,Unsuccessful bidder,11-Feb-2026 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3276068,SUSANTA KUMAR NAYAK,03-Dec-2025 07:20 PM,Rejected-AOC,Unsuccessful bidder,11-Feb-2026 12:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
