Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
superintending engineer,Internal,,DEBADATTA DAS,11-Feb-2026 05:04 PM,techsummary_562759.pdf (511.88 KB),1,3240129,ANSHU CONSTRUCTION,20-Nov-2025 01:29 PM,Rejected-AOC,rejected,11-Feb-2026 05:09 PM,11-Feb-2026,"INR 426,701",90.0,DEBADATTA DAS,11-Feb-2026 05:09 PM,885.pdf (616.00 KB),1.0,3237813.0,PRADEEP CHAMAR,INR,"426,701",Finance,all documents are furnished,DEBADATTA DAS,11-Feb-2026 05:00 PM,,BOQ Comparative Chart,superintending engineer,Internal,,DEBADATTA DAS,11-Feb-2026 05:07 PM,finsummary_562759.pdf (511.88 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",2025_CEMIB_120886_4,TCN-07/2025-26,Improvement to Ainlajharan Check Dam in Lakhanpur Block under Improvement to Check Dam scheme in Jharsuguda District for the year 2024-25.,AOC,"2,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",TCN-07/2025-26,2025_CEMIB_120886_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Improvement to Ainlajharan Check Dam in Lakhanpur Block under Improvement to Check Dam scheme in Jharsuguda District for the year 2024-25.,Improvement to Ainlajharan Check Dam in Lakhanpur Block under Improvement to Check Dam scheme in Jharsuguda District for the year 2024-25.,Please refer Tender documents. ,NA ,"4,59,000",Civil Works - Others,NA ,Tender,90.0,90.0,Jharsuguda,768202.0,NA ,NA ,NA ,Jharsuguda,No ,No,Superintending Engineer,"O/o the Superintending Engineer,M.I. Division, Jharsuguda",1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,"4,590",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,11-Nov-2025 10:00 AM,21-Nov-2025 10:00 AM,11-Nov-2025 10:00 AM,20-Nov-2025 05:30 PM,11-Nov-2025 10:00 AM ,19-Nov-2025 05:30 PM ,11-Nov-2025 10:00 AM,20-Nov-2025 05:30 PM,AOC
,,,,,,2,3237813,PRADEEP CHAMAR,19-Nov-2025 08:46 PM,Accepted-AOC,accepted,11-Feb-2026 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC
