S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, ContractorRegistration Certificate and Other Documents as per DTCN",Construction of RCC Check Dam on Bachungutu Nallah inside Murga DPF of Barbil Range under OMBADC (DPR 2021-22),Construction of RCC Check Dam on Bachungutu Nallah inside Murga DPF of Barbil Range under OMBADC (DPR 2021-22),Please refer Tender documents. ,NA ,"10,80,543",Civil Works - Water Works,NA ,Tender,120.0,90.0,Bachungutu Nallah inside Murga DPF of Barbil Range,758035.0,NA ,NA ,NA ,"Office of the Divisional Forest Officer, Keonjhar",No ,No,"10,900",Yes,fixed,,Nil,Nil,29-Oct-2025 10:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 10:00 AM ,11-Nov-2025 05:00 PM ,29-Oct-2025 10:00 AM,11-Nov-2025 05:00 PM,DFO Keonjhar,AT-PO-DIST- KEONJHAR-758001,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFO(T) KJR-02/2025-26,2025_DFOKJ_119942_75,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,AOC,"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,07-Feb-2026 06:44 PM,techsummary_559254.pdf (445.58 KB),"dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, Ic Head Clerk, Ashok Kumar Das, ACF, Sudipta Ku Panda, ACF",Dhanraj Hanumant Dhamdhere,07-Feb-2026 06:47 PM,finsummary_559254.pdf (355.66 KB),Finance,BID OPEING SUMMARY,Dhanraj Hanumant Dhamdhere,20-Nov-2025 09:26 PM,finance_559254.pdf,BOQ Comparative Chart,07-Feb-2026,"INR 1,083,913",90.0,Dhanraj Hanumant Dhamdhere,07-Feb-2026 07:02 PM,Workorder.pdf (492.00 KB),Work order issued to l1 bidder slected through lottery,1,3199755,DAYANIDHI PATRA,08-Nov-2025 10:24 PM,Rejected-AOC,Not Selected,07-Feb-2026 07:02 PM,1.0,3210115.0,SUBHASHREE SAHOO,INR,"1,083,913",Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_119942_75,FEnCC-DFO(T) KJR-02/2025-26,Construction of RCC Check Dam on Bachungutu Nallah inside Murga DPF of Barbil Range under OMBADC (DPR 2021-22),AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3210115,SUBHASHREE SAHOO,10-Nov-2025 10:49 PM,Accepted-AOC,Selected,07-Feb-2026 07:02 PM,,,,,,,,,,AOC
