Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Superintending Engineer,"O/o S.E., Bhanjanagar (RandB) Division,Bhanjanagar",1.0,ICICI BANK,S/R to Kanteipalli-Sorada Road (ODR) such as patch pot hole repair and cutting of over burden earth from 11/200 to 13/450 Km.,Road work,Please refer Tender documents. ,NA ,"4,93,223",Civil Works - Roads,NA ,Tender,90.0,30.0,Lathipada,761108.0,NA ,NA ,NA ,"O/o S.E., Bhanjanagar (RandB) Division,Bhanjanagar",No ,No,"5,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender Cost, EMD, Contractor RC, GST, PAN, Affidavits, other document as DTCN","2,000",0.0,Nil,Nil,No,02-Sep-2025 12:00 PM,09-Sep-2025 11:00 AM,02-Sep-2025 12:00 PM,08-Sep-2025 05:00 PM,02-Sep-2025 12:00 PM ,06-Sep-2025 05:00 PM ,02-Sep-2025 12:00 PM,08-Sep-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,S.E.-BNJ-RandB-10/2025-26,2025_EICCL_117568_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,3067352,AKASH BEHERA,07-Sep-2025 02:24 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,19-Feb-2026,"INR 419,289",30.0,Satya Ranjan Parida,19-Feb-2026 11:33 AM,10AOC7.pdf (822.00 KB),Er. S R Parida SE,Internal,,Satya Ranjan Parida,19-Feb-2026 11:16 AM,techsummary_551015.pdf (521.23 KB),Er. S R Parida SE,Internal,,Satya Ranjan Parida,19-Feb-2026 11:21 AM,finsummary_551015.pdf (521.23 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-BHANJANAGAR,2025_EICCL_117568_7,S.E.-BNJ-RandB-10/2025-26,S/R to Kanteipalli-Sorada Road (ODR) such as patch pot hole repair and cutting of over burden earth from 11/200 to 13/450 Km.,1.0,3068132.0,Bidyadhara Sahu,INR,"419,289",Finance,The tender documents of all bidders are under scrutiny.,Chiranjibi Sahu,10-Sep-2025 05:17 PM,,BOQ Comparative Chart,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3066046,BALAJI KUMAR CHOUDHURY,06-Sep-2025 04:16 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3068132,Bidyadhara Sahu,08-Sep-2025 10:23 AM,Accepted-AOC,After transparent lottery system Sri Bidyadhara Sahu got successful 1st lowest tenderer.,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3069307,BIKASH CHANDRA SAHOO,08-Sep-2025 03:25 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3069143,GURUDEV GAUDA,08-Sep-2025 02:50 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3064392,Kiranabala Nayak,06-Sep-2025 05:43 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3069368,MITHUN KUMAR SAHU,08-Sep-2025 03:35 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3068851,NARAYAN BHUYAN,08-Sep-2025 01:33 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3068110,Nilu Kumari Panda,08-Sep-2025 04:26 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3067883,Sarada Patro,07-Sep-2025 10:11 PM,Rejected-AOC,Qualified,19-Feb-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
