Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,All 13nos.,Ashirbad Panda,04-Dec-2025 12:36 PM,finance_566749.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,2025_CERWI_121270_34,Tenderonline SBPR-09 of 25-26,Repair Thana Building at Dhama for the year 25-26,1.0,3265150.0,SAROJ SARANGI,INR,"435,443",1,3262282,BHAGABAN PRADHAN,28-Nov-2025 09:21 AM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,06-Feb-2026,"INR 435,443",60.0,Ashirbad Panda,06-Feb-2026 12:31 PM,111.pdf (193.00 KB),aoc,SE,Internal,,Ashirbad Panda,06-Feb-2026 12:17 PM,techsummary_566749.pdf (193.30 KB),SE,Internal,,Ashirbad Panda,06-Feb-2026 12:25 PM,finsummary_566749.pdf (193.30 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Repair Thana Building at Dhama for the year 25-26,Repair Thana Building at Dhama for the year 25-26,Please refer Tender documents. ,NA ,"6,30,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sambalpur,768001.0,NA ,NA ,NA ,"SE RW Division, Sambalpur",No ,No,"SE RW Division, Sambalpur","SE RW Division, Sambalpur",25-Nov-2025 12:55 PM,03-Dec-2025 10:00 AM,25-Nov-2025 12:55 PM,02-Dec-2025 05:00 PM,NA ,NA ,25-Nov-2025 12:55 PM,02-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy of Tender cost, EMD, GSTIN, PAN, RC, Affidavit","6,300",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-SAMBALPUR,Tenderonline SBPR-09 of 25-26,2025_CERWI_121270_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3269971,BIBHUTIBHUSHAN PANDA,01-Dec-2025 08:37 PM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3261618,KISHOR KUMAR SARANGI,29-Nov-2025 08:35 PM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3267845,MANASH RANJAN MAHAPATRA,30-Nov-2025 03:25 PM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3271309,MANOJ KUMAR MAHAPATRA,02-Dec-2025 01:27 AM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3271319,Nalini Meher,02-Dec-2025 12:44 PM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3268024,PADMINI SINGH,30-Nov-2025 05:28 PM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3271104,PUJARANI SAMAL,02-Dec-2025 12:15 PM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3262114,PUSPANJALI DEHURI,28-Nov-2025 06:24 AM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3267565,SANTOSH KUMAR PADHI,30-Nov-2025 10:22 AM,Rejected-Technical,ok,06-Feb-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
