S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3193975.0,RAHUL KUMAR YADAV,INR,"3,602,096",Finance,open,Sanjeet Kumar Naik,03-Feb-2026 12:21 PM,finance_557805.pdf,BOQ Comparative Chart,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,03-Feb-2026 12:31 PM,finsummary_557805.pdf (335.29 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_119949_4,RWDRRP-08 of 25-26,Special repair of MDR Anandpur for the year 2025-26 (box cell),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,03-Feb-2026 12:24 PM,techsummary_557805.pdf (520.21 KB),1,3194148,BARENDRA KRISHNA MATAGAJSINGH,07-Nov-2025 03:24 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,03-Feb-2026,"INR 3,602,096",90.0,Sanjeet Kumar Naik,03-Feb-2026 12:35 PM,6859.pdf (335.00 KB),AOC,Special repair of MDR Anandpur for the year 2025-26 (box cell),Special repair of MDR Anandpur for the year 2025-26 (box cell),Please refer Tender documents. ,NA ,"42,37,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,"6,000",0.0,Nil,Nil,No,"42,370",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,27-Oct-2025 11:00 AM,10-Nov-2025 11:30 AM,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,27-Oct-2025 11:00 AM ,06-Nov-2025 05:00 PM ,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,1.0,change,Other,,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-08 of 25-26,2025_CERWI_119949_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,SERWD Rairangpur,SERWD Rairangpur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3193403,BHABENDU KUMAR MOHANTA,07-Nov-2025 01:14 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3175128,BHAGYASHREE MOHANTA,02-Nov-2025 06:59 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3194322,DEBABRATA GOCHHAYAT,07-Nov-2025 03:56 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3193088,DEEPAK KUMAR MOHANTY,07-Nov-2025 04:51 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3194281,DIBYAKANTA KHUNTIA,07-Nov-2025 04:21 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3194138,joyram beshra,07-Nov-2025 03:24 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3193678,KAMALA KANTA NAYAK,07-Nov-2025 01:52 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3193477,KISHAN KUMAR PARIDA,07-Nov-2025 01:30 PM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3192514,PINTU OJHA,07-Nov-2025 11:10 AM,Rejected-AOC,Lottery,03-Feb-2026 12:36 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
