Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Inspection chambers of size 600 mm square at various locations in Catchment-5 in Part Commissioning Areas.,Construction of Inspection chambers of size 600 mm square at various locations in Catchment-5 in Part Commissioning Areas.,Please refer Tender documents. ,NA ,"38,47,220",Civil Works - Others,Sewerage Work ,Tender,120.0,60.0,Sarlakani,768001.0,NA ,NA ,NA ,Sambalpur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"LICENSE, PAN CARD, GSTIN, AFFIDAVITS AND OTHER DOCUMENTS AS PER DTCN","39,000",Yes,fixed,,Nil,Nil,1,Date Corrigendum,Date,,"7,080",Nil,Nil,No,01-Jan-2026 02:00 PM,13-Jan-2026 12:30 PM,01-Jan-2026 02:00 PM,12-Jan-2026 05:00 PM,NA ,NA ,01-Jan-2026 02:00 PM,12-Jan-2026 05:00 PM,"General Manager, WATCO Project Division, Sambalpur","General Manager, WATCO Project Division, Dhanupali,Bhatra,Sambalpur",WATCO Bhubaneswar||Director (Projects) Watco||GM WATCO PROJECT DIVISION SAMBALPUR,08/ Project/WATCO/SBP/ 2025-26 Dated 23.12.2025,2026_WPDS_124063_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,3350440,ABHINAS NANDA,10-Jan-2026 02:51 PM,Rejected-AOC,Loser in Lottery drawal,18-Feb-2026 06:59 PM,18-Feb-2026,"INR 3,270,521.72",60.0,Rajesh Kumar Nayak,18-Feb-2026 06:59 PM,AOCTarai.pdf (496.00 KB),Rajesh Kumar Nayak,Internal,Madhusuan Singh Pramila Bag,Pramila Bag,18-Feb-2026 05:46 PM,finsummary_573996.pdf (541.59 KB),Finance,All the bidders are admitted for further evaluation.,Madhusudan Singh,13-Jan-2026 01:09 PM,,BOQ Comparative Chart,Rajesh Kumar Nayak,Internal,Madhusuadan Singh Pramila Bag,Pramila Bag,18-Feb-2026 05:34 PM,techsummary_573996.pdf (541.59 KB),WATCO Bhubaneswar||Director (Projects) Watco||GM WATCO PROJECT DIVISION SAMBALPUR,2026_WPDS_124063_1,08/ Project/WATCO/SBP/ 2025-26 Dated 23.12.2025,Construction of Inspection chambers of size 600 mm square at various locations in Catchment-5 in Part Commissioning Areas.,1.0,3350206.0,CHAMPABATI TARAI,INR,"3,270,521.72",AOC
,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,2,Change in Criteria/Specification of DTCN,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3350206,CHAMPABATI TARAI,10-Jan-2026 04:34 PM,Accepted-AOC,Winner in Lottery drawal,18-Feb-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Change in Criteria/Specification of DTCN,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3348190,SARANGA DHAR CHAINI,10-Jan-2026 03:05 PM,Rejected-AOC,Loser in Lottery drawal,18-Feb-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
