Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,S/R to R.I. office building at at Gotisahi for the year 2025-26,S/R to R.I. office building at at Gotisahi for the year 2025-26,NA ,NA ,"4,23,441",Civil Works - Buildings,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH","4,234",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH52526,2025_CERWI_121441_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,17-Nov-2025 01:30 PM,29-Nov-2025 11:00 AM,17-Nov-2025 01:30 PM,28-Nov-2025 05:30 PM,17-Nov-2025 01:30 PM ,28-Nov-2025 05:30 PM ,17-Nov-2025 01:30 PM,28-Nov-2025 05:30 PM,AOC,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,02-Feb-2026 05:33 PM,finsummary_565056.pdf (3883.35 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_121441_1,TENDERONLINEDNAYAGARH52526,S/R to R.I. office building at at Gotisahi for the year 2025-26,1.0,3251920.0,SUNI DALEI,INR,"359,967",Finance,Technical Evaluation Committee,Chittaranjan Mishra,02-Feb-2026 05:22 PM,finance_565056.pdf,BOQ Comparative Chart,1,3258718,AKSHAY KUMAR MANGARAJ,27-Nov-2025 08:04 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,02-Feb-2026,"INR 359,967",60.0,Chittaranjan Mishra,02-Feb-2026 05:46 PM,696.pdf (446.00 KB),166P1 of 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,02-Feb-2026 05:27 PM,techsummary_565056.pdf (3883.35 KB),AOC
,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3249963,ANANDA KUMAR PANDA,25-Nov-2025 03:59 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3251107,ARTABANDHU MEKAP,24-Nov-2025 03:24 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3258387,ASHOK KUMAR ROUT,27-Nov-2025 12:44 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3258938,BASANTI SWAIN,27-Nov-2025 07:04 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3258828,BHAGIRATHI PRADHAN,28-Nov-2025 12:13 AM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3251457,BIKASH PRADHAN,24-Nov-2025 05:21 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3247502,BINAYAK JENA,23-Nov-2025 10:35 AM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3250511,BINODA KUMAR SWAIN,25-Nov-2025 06:06 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3249862,DASARATHI BEHERA,25-Nov-2025 01:35 PM,Rejected-AOC,L1,02-Feb-2026 05:46 PM,,,,,,,,,,,,,,AOC
