Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,Tender document as per DTCN,01-Aug-2025 05:00 PM,18-Aug-2025 11:00 AM,01-Aug-2025 05:00 PM,16-Aug-2025 05:00 PM,01-Aug-2025 05:00 PM ,14-Aug-2025 05:00 PM ,01-Aug-2025 05:00 PM,16-Aug-2025 05:00 PM,"EO, Pattamundai Municipality",Pattamundai,Construction of Paver Block Road at Niriya Sethy House to Nanda Das House In Ward No 20,Construction of Paver Block Road at Niriya Sethy House to Nanda Das House In Ward No 20,Please refer Tender documents. ,NA ,"10,00,000",Civil Works - Others,NA ,Tender,90.0,90.0,"Executive Officer, Pattamundai Municipality",754215.0,NA ,NA ,NA ,Office of the Executive Officer,No ,No,Municipal Bodies||Pattamundai Municipality,PM_01/2025-26,2025_ORULB_116329_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"10,000",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC,1,3038207,ABHAYA KUMAR DAS,16-Aug-2025 01:41 PM,Rejected-AOC,L14,06-Feb-2026 01:52 PM,06-Feb-2026,"INR 1,003,118",90.0,Ranjan Kumar Das,06-Feb-2026 01:52 PM,AOC.pdf (684.00 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,06-Feb-2026 01:36 PM,techsummary_548000.pdf (529.76 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,06-Feb-2026 01:43 PM,finsummary_548000.pdf (587.80 KB),Municipal Bodies||Pattamundai Municipality,2025_ORULB_116329_4,PM_01/2025-26,Construction of Paver Block Road at Niriya Sethy House to Nanda Das House In Ward No 20,1.0,3038565.0,PRADIP KUMAR BEHERA(S.C),INR,"1,003,118",Finance,ok,Samir Kumar Thakur,18-Aug-2025 02:58 PM,,BOQ Comparative Chart,AOC
,,.xls,Bills of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3037369,AKASH MALIK,15-Aug-2025 08:38 PM,Rejected-AOC,L7,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3036944,BANISHREE SWAIN,15-Aug-2025 02:23 PM,Rejected-AOC,L6,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3037819,BISWA BHUSAN SAMAL,16-Aug-2025 03:21 PM,Rejected-Technical,The Bidder is Disqualified because The Bidder not Submitted the GST Clearance Certificate,06-Feb-2026 01:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3038128,HEMANT KUMAR BISWAL,16-Aug-2025 01:30 PM,Rejected-AOC,L10,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3037833,LITU KUMAR ROUT,16-Aug-2025 10:39 AM,Rejected-AOC,L9,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3038424,NAMITA JYOSHNA NAYAK,16-Aug-2025 03:15 PM,Rejected-AOC,L11,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3038565,PRADIP KUMAR BEHERA(S.C),16-Aug-2025 04:15 PM,Accepted-AOC,The Bider Was Selected As L1 Bidder Through Transparency Lottery Process.,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3038372,PRADIPTA KUMAR BEHERA,16-Aug-2025 02:55 PM,Rejected-AOC,L12,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3038362,PRANATI BEHERA,16-Aug-2025 03:05 PM,Rejected-AOC,L13,06-Feb-2026 01:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
