S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3287248.0,JAJATI KESHARI NAIK,INR,"5,111,621.17","Er. D.K. Naik, SE MI Division, Sundargarh",Internal,"Sri R. Singh DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr), Miss G. Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,19-Dec-2025 06:39 PM,finsummary_566471.pdf (680.47 KB),Technical,All the 12nos bidders have submitted the required bid cost and fulfilled the required criteria. Hence their financial bids have been opened.,DHIRENDRA KUMAR NAIK,16-Dec-2025 12:06 PM,technical_566471.pdf,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_121804_9,SE MID SNG 15/2025-26,Construction of Tungripada Check dam over Local nalla near village Kudabaga in Sundargarh Block of Sundargarh District under MATY Scheme 2025-26.,Finance,All the 12 nos bidders have quoted equal rate i. e. 14.99 percentage less than the estimated cost put to tender hence 12nos bidders may be invited for lottery,DHIRENDRA KUMAR NAIK,19-Dec-2025 06:05 PM,finance_566471.pdf,BOQ Comparative Chart,"Er. D.K. Naik, SE MI Division, Sundargarh",Internal,"Sri R. Singh DAO, Sri S. Lakra AEE (Estr), Smt N. Soreng AE (Estr), Miss G. Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,16-Dec-2025 12:09 PM,16-Dec-2025 12:10 PM,techsummary_566471.pdf (985.71 KB),1,3288172,BIKASH CHANDRA RAO,08-Dec-2025 12:24 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,31-Dec-2025,"INR 5,111,621.17",120.0,DHIRENDRA KUMAR NAIK,06-Feb-2026 11:39 AM,tungripada.pdf (794.00 KB),The tender of Sri Jajati Keshari Naik B class Engg. contractor decided in Transparent Lottery Amounting to Rs 5111621.17 being 14.99 percent less than the Tendered value is accepted.,AOC,Construction of Tungripada Check dam over Local nalla near village Kudabaga in Sundargarh Block of Sundargarh District under MATY Scheme 2025-26.,Construction of Tungripada Check dam over Local nalla near village Kudabaga in Sundargarh Block of Sundargarh District under MATY Scheme 2025-26.,B class contractor ,NA ,"60,12,965",Civil Works - Others,check dam ,Tender,90.0,120.0,Sundargarh Block,770001.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG 15/2025-26,2025_CEMIB_121804_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,24-Nov-2025 10:00 AM,09-Dec-2025 11:00 AM,24-Nov-2025 10:00 AM,08-Dec-2025 05:30 PM,24-Nov-2025 10:00 AM ,08-Dec-2025 05:30 PM ,24-Nov-2025 10:00 AM,08-Dec-2025 05:30 PM,16-Dec-2025 12:10 PM,"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi","10,000",0.0,Nil,Nil,No,"60,130",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3285522,BIKASH RANJAN PATTANAIK,07-Dec-2025 12:07 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3289371,BIREN DUNGRI,08-Dec-2025 03:11 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3285295,CHITTARANJAN HOTA,07-Dec-2025 08:34 AM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3287248,JAJATI KESHARI NAIK,07-Dec-2025 10:11 PM,Accepted-AOC,Accepted,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3265098,MANOJ KUMAR CHOUDHURY,29-Nov-2025 03:04 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3283058,PRABHAT KUMAR,08-Dec-2025 12:56 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3286636,PRIYA RANJAN PATTNAIK,07-Dec-2025 07:00 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3289694,RAJ KISHORE BHATTACHARYA,08-Dec-2025 03:52 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3282837,RAKESH KUMAR SAMAL,05-Dec-2025 06:20 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3280451,Rohit Kisan,05-Dec-2025 12:24 AM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3274698,SUBRAT KUMAR PANDEY,04-Dec-2025 12:09 PM,Rejected-AOC,Rejected,06-Feb-2026 11:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
