S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents as per DTCN,"19,490",Yes,percentage,1.0%,Nil,Nil,Periodical maint of Naujora to Sunaposi road for the year 2025-26. SDBC,Periodical maint of Naujora to Sunaposi road for the year 2025-26. SDBC,Please refer Tender documents. ,NA ,"19,49,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,SERWD Rairangpur,SERWD Rairangpur,29-Oct-2025 11:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 11:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 11:00 AM ,10-Nov-2025 05:00 PM ,29-Oct-2025 11:00 AM,11-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-10 of 25-26,2025_CERWI_120051_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,18-Feb-2026 05:19 PM,finsummary_558216.pdf (520.21 KB),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,18-Feb-2026 05:17 PM,techsummary_558216.pdf (520.21 KB),18-Feb-2026,"INR 1,656,944",30.0,Sanjeet Kumar Naik,18-Feb-2026 05:22 PM,6855.pdf (520.00 KB),1,3213338,BHANU SHANKAR MISHRA,11-Nov-2025 02:57 PM,Rejected-AOC,Lottery,18-Feb-2026 05:22 PM,1.0,3211371.0,SIDHESWAR MOHANTA,INR,"1,656,944",CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_120051_10,RWDRRP-10 of 25-26,Periodical maint of Naujora to Sunaposi road for the year 2025-26. SDBC,Finance,open,Sanjeet Kumar Naik,18-Feb-2026 05:16 PM,finance_558216.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3213451,BINATI SAHOO,11-Nov-2025 03:12 PM,Rejected-AOC,Lottery,18-Feb-2026 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3182517,MOHAN MOHANTA,06-Nov-2025 03:25 PM,Rejected-AOC,Lottery,18-Feb-2026 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3209676,SHRUTILATA MANDAL,10-Nov-2025 07:27 PM,Rejected-AOC,Lottery,18-Feb-2026 05:22 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3211371,SIDHESWAR MOHANTA,11-Nov-2025 10:37 AM,Accepted-AOC,Lottery winner,18-Feb-2026 05:22 PM,,,,,,,,,,,,,,,,AOC
