Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Executive Engineer (Central Tender Cell),"Central Tender Cell,ICOMC Tower,BMC",1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,1.0,ICICI BANK,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,2025_ORULB_122487_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-Dec-2025 11:00 AM,15-Dec-2025 03:30 PM,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,04-Dec-2025 11:00 AM ,09-Dec-2025 01:30 PM ,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,"6,000",0.0,Nil,Nil,No,"47,900",Yes,fixed,,Nil,Nil,Laying of Paver Block tiles at RampurB Basti and Construction of New Drain Mahila Samiti Building at the back side of Prava Apartment near Jena OMFED and In front of Vending Zone in Ward No. 36,Laying of Paver Block tiles at RampurB Basti and Construction of New Drain Mahila Samiti Building at the back side of Prava Apartment near Jena OMFED and In front of Vending Zone in Ward No. 36,Please refer Tender documents. ,NA ,"47,85,486",Civil Works - Others,NA ,Tender,120.0,90.0,BMC Area,751022.0,"Office Chamber of EE Central Tender Cell,BMC ","UG Floor,Office Chamber of EE Central Tender Cell,BMC ",09-Dec-2025 04:00 PM ,"Central Tender Cell,BMC",No ,No,AOC,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,27-Feb-2026 03:18 PM,techsummary_569140.pdf (2310.99 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,27-Feb-2026 03:24 PM,finsummary_569140.pdf (4453.03 KB),Finance,14 bids opened successfully,Taras Marandi,15-Dec-2025 04:08 PM,finance_569140.pdf,BOQ Comparative Chart,27-Feb-2026,"INR 4,800,407",90.0,Lipsa Parida,27-Feb-2026 03:29 PM,Workorder_50_23.pdf (272.00 KB),1.0,3294382.0,BIJAYA KUMAR PARIDA,INR,"4,800,407",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_122487_23,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,Laying of Paver Block tiles at RampurB Basti and Construction of New Drain Mahila Samiti Building at the back side of Prava Apartment near Jena OMFED and In front of Vending Zone in Ward No. 36,1,3286807,Ashit Kumar Pattnaik,13-Dec-2025 08:27 AM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3297132,BASANTA KUMAR BHOI,12-Dec-2025 12:24 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3293403,BHIMSEN SAHOO,10-Dec-2025 03:43 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3294382,BIJAYA KUMAR PARIDA,11-Dec-2025 11:50 PM,Accepted-AOC,L1 bidder,27-Feb-2026 03:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3303536,BISWAJIT SAHU,15-Dec-2025 01:44 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3293721,CHITRASEN GAJENDRA,15-Dec-2025 01:18 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3299375,M/S OMM SAI ASSOCIATES,13-Dec-2025 01:10 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3298030,M/S SATYAM AGENCY (PROPRIETOR) SMT. ROJALINI RATH,12-Dec-2025 04:27 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3293772,PRATIMA BADAJENA,15-Dec-2025 01:23 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3303836,PRIYANKA SWAIN,15-Dec-2025 02:33 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3298363,RISHIKESH DAS,12-Dec-2025 05:33 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3301162,SAMBEET SAHOO,14-Dec-2025 01:40 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3302726,SATYAJIT SAHU,15-Dec-2025 11:36 AM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3301107,S ONE INFRASTRUCTURE,14-Dec-2025 01:13 PM,Rejected-Finance,Rejected,27-Feb-2026 03:24 PM,AOC
