S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3047244.0,GIRISH SAMAL,INR,"15,521,954",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_117055_4,CCEKC - 08 / 2025-26,"Improvement to SKDAV Govt. Polytechnic at Rourkela such as repair of Administrative building, CDTPS Building, Canteen, Parking, Landscaping and Compound wall of SKDAV Rourkela in the district of Sundargarh (Civil and PH)",Technical,Bid opening summary,Santosh Kumar Behera,03-Sep-2025 06:13 PM,technical_549906.pdf,Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,19-Dec-2025 04:29 PM,finsummary_549906.pdf (104.51 KB),Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,28-Nov-2025 09:32 PM,29-Nov-2025 04:00 PM,techsummary_549906.pdf (1676.72 KB),Finance,Bid opening summary,Santosh Kumar Behera,29-Nov-2025 05:52 PM,finance_549906.pdf,BOQ Comparative Chart,1,3060375,AKSHAYA KUMAR MOHAPATRA,01-Sep-2025 11:44 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,04-Feb-2026,"INR 15,521,954",150.0,Santosh Kumar Behera,04-Feb-2026 12:20 PM,AOCSKDAVRourkela.pdf (1970.00 KB),1st Lowest Bidder Winner of Lottery,AOC,"Improvement to SKDAV Govt. Polytechnic at Rourkela such as repair of Administrative building, CDTPS Building, Canteen, Parking, Landscaping and Compound wall of SKDAV Rourkela in the district of Sundargarh (Civil and PH)","Improvement to SKDAV Govt. Polytechnic at Rourkela such as repair of Administrative building, CDTPS Building, Canteen, Parking, Landscaping and Compound wall of SKDAV Rourkela in the district of Sundargarh (Civil and PH)",Please refer Tender Documents ,NA ,"1,82,58,974",Civil Works - Others,NA ,Tender,90.0,150.0,Rourkela,769012.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,19-Aug-2025 05:30 PM,03-Sep-2025 11:30 AM,19-Aug-2025 05:30 PM,02-Sep-2025 04:00 PM,NA ,NA ,19-Aug-2025 05:30 PM,02-Sep-2025 04:00 PM,29-Nov-2025 04:00 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 08 / 2025-26,2025_EICCL_117055_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001","1,82,600",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3052895,BHUYAN MAHAPRASAD,28-Aug-2025 04:59 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3056695,CHINMAY NAYAK,30-Aug-2025 05:50 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3045319,CHIRANJIB ABINASH,23-Aug-2025 12:05 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3045494,DEEPAK KUMAR MISHRA,23-Aug-2025 01:43 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3059144,DEEPAK KUMAR ROUT,01-Sep-2025 02:04 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3059830,DEEPAK SAHOO,01-Sep-2025 06:01 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3060290,DILLIP KUMAR SWAIN,01-Sep-2025 10:07 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3047244,GIRISH SAMAL,31-Aug-2025 08:05 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,04-Feb-2026 12:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3059332,JAY DURGA BUILDCON PRIVATE LIMITED,01-Sep-2025 03:34 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,19-Dec-2025 04:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
