Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN 11 of 2025-26,2025_CERWI_121179_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"63,556",Yes,percentage,1.0%,Nil,Nil,1.0,Corrigendum,Other,,Executive Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak",Periodical Maintenance to Road from BKBM road Gandagara village chhaka to kendrapada college chhak via mugagadhia and Gobirapadi road for the Year 2025-26,Construction of Boxcell,"PAN,GST,RC and other relevant document as per DTCN ",NA ,"63,55,552",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the Superintending Engineer, R.W.Division, Bha",No ,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,12-Nov-2025 06:55 PM,21-Nov-2025 11:00 AM,12-Nov-2025 06:55 PM,20-Nov-2025 04:00 PM,12-Nov-2025 06:55 PM ,20-Nov-2025 02:00 PM ,12-Nov-2025 06:55 PM,20-Nov-2025 04:00 PM,02-Dec-2025 09:00 AM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC,19-Feb-2026,"INR 5,402,854",60.0,Ganesh Chandra Hembram,19-Feb-2026 02:16 PM,686.pdf (726.00 KB),1,3240906,ASHIS KUMAR DAS,20-Nov-2025 12:41 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,Finance,Total 9 nos Bidder,Pallishree Sahoo,02-Dec-2025 01:31 PM,finance_563786.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Ganesh Chandra Hembram,01-Dec-2025 07:07 PM,02-Dec-2025 09:00 AM,techsummary_563786.pdf (414.34 KB),Executive Engineer,Internal,,Ganesh Chandra Hembram,19-Feb-2026 02:12 PM,finsummary_563786.pdf (726.31 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2025_CERWI_121179_1,TCN 11 of 2025-26,Periodical Maintenance to Road from BKBM road Gandagara village chhaka to kendrapada college chhak via mugagadhia and Gobirapadi road for the Year 2025-26,Technical,Total 11 nos bidders,Ganesh Chandra Hembram,01-Dec-2025 07:00 PM,technical_563786.pdf,1.0,3241627.0,KUMAR GOURAB MAHARANA,INR,"5,402,854",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TCN,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,2,3240501,BIKASH NAYAK,20-Nov-2025 10:52 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3241741,CHANDAN KUMAR BEHERA,20-Nov-2025 02:42 PM,Rejected-Technical,Insufficient Document,01-Dec-2025 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3236306,CHINTAMANI SAHOO,18-Nov-2025 07:41 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3238802,Kalyani Samal,20-Nov-2025 02:28 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3241627,KUMAR GOURAB MAHARANA,20-Nov-2025 03:32 PM,Accepted-AOC,Successful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3241756,Papu Mohapatra,20-Nov-2025 02:44 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3241860,SANGRAM KESHARI NAYAK,20-Nov-2025 03:28 PM,Rejected-Technical,Insufficient Document,01-Dec-2025 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3240323,SAROJ KUMAR PRADHAN,20-Nov-2025 11:06 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3241875,SUBRAT KUMAR SAHOO,20-Nov-2025 03:21 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system,19-Feb-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
