Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Municipal Bodies||Dhenkanal Municipality,2025_ORULB_114269_17,DKL MPLTY/02/2025-26,R/M to Drain from Ganesh Steel to Kabadi Godown in ward no. 12,1.0,2966691.0,BODHINATH JAGADISH CHANDRA,INR,"689,952",1,2968009,Ahalya Rout,16-Jun-2025 12:54 AM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,11-Feb-2026,"INR 689,952",45.0,ASHWINI KUMAR DAS,11-Feb-2026 01:06 PM,AOCJUNE2517.pdf (246.00 KB),Finance,L1 Bidder will finalised after scrutiny of all documents,ASHWINI KUMAR DAS,30-Jan-2026 01:46 PM,,BOQ Comparative Chart,CHAIRPERSON,Internal,"JE,AE,AEE,ME,EO",ASHWINI KUMAR DAS,11-Feb-2026 12:59 PM,finsummary_542439.pdf (341.94 KB),CHAIRPERSON,Internal,"JE,ME,AEE,EO",ASHWINI KUMAR DAS,30-Jan-2026 01:51 PM,techsummary_542439.pdf (341.94 KB),AOC,1.0,ICICI BANK,"6,900",Yes,fixed,,Nil,Nil,07-Jun-2025 11:00 AM,17-Jun-2025 09:00 AM,07-Jun-2025 11:00 AM,16-Jun-2025 05:00 PM,NA ,NA ,07-Jun-2025 11:00 AM,16-Jun-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/02/2025-26,2025_ORULB_114269_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,R/M to Drain from Ganesh Steel to Kabadi Godown in ward no. 12,AS PER DTCN,Please refer Tender documents. ,NA ,"6,89,952",Civil Works - Others,NA ,Tender,120.0,45.0,DHENKANAL MUNICIPALITY AREA,759001.0,NA ,NA ,NA ,DHENKANAL MUNICIPALITY,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Executive Officer,Dhenkanal Municipality,AOC
,,,,,,,,,2,2966858,Ajoy Kumar Baisak,15-Jun-2025 12:17 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,AOC
,,,,,,,,,3,2966691,BODHINATH JAGADISH CHANDRA,14-Jun-2025 02:02 PM,Accepted-AOC,sucessful in lottery,11-Feb-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC
,,,,,,,,,4,2966738,Debi Sankar Sharma,14-Jun-2025 02:49 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2967136,Pradyumna Mohanty,15-Jun-2025 12:09 AM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2966638,RAJESH KUMAR BEHERA,14-Jun-2025 01:10 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2967018,Ratiranjan Panda,14-Jun-2025 09:34 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2969563,SANJAYA KUMAR BEHERA,16-Jun-2025 04:11 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2966975,SHREEKANTA PARIDA,14-Jun-2025 08:45 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2966305,SK Abdul Bari,14-Jun-2025 09:10 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,11-Feb-2026 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
