Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
05-Dec-2025 10:00 AM,20-Dec-2025 11:00 AM,05-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,05-Dec-2025 10:00 AM ,19-Dec-2025 05:30 PM ,05-Dec-2025 10:00 AM,19-Dec-2025 05:30 PM,26-Dec-2025 09:00 AM,Construction of Judasahi Check dam over local nalla near village Ganighasa in Lahunipara Block of Sundargarh District under MATY Scheme 2025-26,Construction of Judasahi Check dam over local nalla near village Ganighasa in Lahunipara Block of Sundargarh District under MATY Scheme 2025-26,B class contractor ,NA ,"89,60,975",Civil Works - Others,check dam ,Tender,90.0,120.0,Lahunipara Block,770040.0,NA ,NA ,NA ,"O/o the Superintending Engineer, MID, Sundargarh",No ,No,"10,000",0.0,Nil,Nil,No,"S.E. M.I. Division, Sundargarh","O/o the Superintending Engineer, MI Division, Sundargarh, At/PO- Mahesdihi",1.0,ICICI BANK,"89,610",Yes,percentage,1.0%,Nil,Nil,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",SE MID SNG16/2025-26,2025_CEMIB_122575_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, PAN, GSTIN, CDMS License, No Relation Certificate",AOC,13-Jan-2026,"INR 7,617,724.52",120.0,DHIRENDRA KUMAR NAIK,18-Feb-2026 05:11 PM,judasahi.pdf (898.00 KB),The tender of Sri Rajendra Dhar B class Engg. contractor decided in Transparent Lottery Amounting to Rs 7617724.52being 14.99 percent less than the Tendered value is accepted.,1,3317310,ASHISH KUMAR SAHOO,19-Dec-2025 03:00 PM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,24-Dec-2025 07:40 PM,26-Dec-2025 09:00 AM,techsummary_569425.pdf (1249.53 KB),Finance,All the 10 nos bidders have quoted equal rate i. e. 14.99 percentage less than the estimated cost put to tender hence 10nos bidders may be invited for lottery,DHIRENDRA KUMAR NAIK,08-Jan-2026 08:16 PM,finance_569425.pdf,BOQ Comparative Chart,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH",2025_CEMIB_122575_8,SE MID SNG16/2025-26,Construction of Judasahi Check dam over local nalla near village Ganighasa in Lahunipara Block of Sundargarh District under MATY Scheme 2025-26,Technical,"The above 10Nos. bidders have participated in the tender,But Sahil Kumar Ray rejected due to already availed 3nos. Of EMD Exemption. Other 09 nos. bidders have been technically qualified, hence if the authority considers their financial bids may be open",DHIRENDRA KUMAR NAIK,24-Dec-2025 07:20 PM,technical_569425.pdf,"Er. Dhirendra Ku. Naik SE MI Division, Sundargarh",Internal,"Sri Raghvendra Singh DAO, Sri S. Lakra AEE(Estr), Smt N. Soreng AE(Estr),G.Bhitria JE (Estr)",DHIRENDRA KUMAR NAIK,08-Jan-2026 08:19 PM,finsummary_569425.pdf (944.39 KB),1.0,3311968.0,Rajendra Dhar,INR,"7,617,724.52",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,2,3315119,BISWANATH BARIK,19-Dec-2025 10:49 AM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3316151,DHANESWAR BARAD,19-Dec-2025 10:23 AM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3317033,DHANESWAR MAJHI,19-Dec-2025 01:51 PM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3317644,DURGA MADHABA TAPNO,19-Dec-2025 04:36 PM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3310825,GOPAL TOPPO,19-Dec-2025 01:43 PM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3317501,Kamal Muduli,19-Dec-2025 03:45 PM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3317042,NIBHA MISHRA,19-Dec-2025 01:54 PM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3311968,Rajendra Dhar,17-Dec-2025 06:24 PM,Accepted-AOC,Accepted,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3316262,Rakesh Jadav,19-Dec-2025 11:10 AM,Rejected-AOC,Rejected,18-Feb-2026 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
