Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
"Block Development Officer, Junagarh",Internal,,Debasis Kar,16-Feb-2026 05:31 PM,techsummary_567551.pdf (454.59 KB),16-Feb-2026,"INR 1,836,174",180.0,Debasis Kar,16-Feb-2026 05:38 PM,ChicheigudaPACS.pdf (455.00 KB),1,3300222,ADITYA KUMAR MISHRA,15-Dec-2025 12:50 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,Finance,13 nos. bidder participated,Debasis Kar,16-Dec-2025 05:50 PM,,BOQ Comparative Chart,1.0,3301948.0,Manaranjan Behera,INR,"1,836,174",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||JUNAGARH Block,2025_PRDJH_122112_4,PS-JNG-T-3/2025-26,Construction of PACS Office building with 50 MT Godown at Chicheiguda under Junagarh Block,"Block Development Officer, Junagarh",Internal,,Debasis Kar,16-Feb-2026 05:36 PM,finsummary_567551.pdf (454.59 KB),AOC,Construction of PACS Office building with 50 MT Godown at Chicheiguda under Junagarh Block,Building,Please refer Tender documents. ,NA ,"21,59,951",Civil Works - Buildings,NA ,Tender,90.0,180.0,Junagarh,766014.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Junagarh",No ,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||JUNAGARH Block,PS-JNG-T-3/2025-26,2025_PRDJH_122112_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, RC, PAN, GST, No Relation certificate","22,000",Yes,fixed,,Nil,Nil,"Block Development Officer, Junagarh","O/o Panchayat Samiti, Junagarh",1.0,ICICI BANK,01-Dec-2025 11:00 AM,16-Dec-2025 11:00 AM,01-Dec-2025 11:00 AM,15-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,05-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,15-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,2,3300734,AMIT KUMAR AGRAWAL,15-Dec-2025 11:51 AM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,3,3303376,GITANJALI MEHER,15-Dec-2025 02:54 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3303187,Jitendra Kumar Naik,15-Dec-2025 01:12 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3302087,MAHENDRA NAIK,14-Dec-2025 09:21 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3301948,Manaranjan Behera,14-Dec-2025 08:34 PM,Accepted-AOC,Qualified,16-Feb-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3304026,MANOJ KUMAR AGRAWAL,15-Dec-2025 03:34 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3303906,M/S DEBADATTA PATTNAIK,15-Dec-2025 02:54 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3299758,M/S SHREE SHYAM REALCON,13-Dec-2025 08:30 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3299875,PRATAP KISHOR NAIK,13-Dec-2025 08:54 PM,Rejected-Finance,Disqualified,16-Feb-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
