S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Improvement of Internal PH work to Boys Hostel (old building) of Govt. ITI at Balangir(Ground floor and 1st floor),PH Work,Please refer Tender documents. ,NA ,"7,50,420",Civil Works - Water Works,NA ,Tender,90.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"O/O the SE GPH Division No.II, Sambalpur",No ,No,"4,000",0.0,Nil,Nil,No,"SE GPH Division No.II, Sambalpur","O/O the SE GPH Division No.II, Sambalpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license, PAN, GSTIN, Affidavit and other documents as per DTCN","7,505",Yes,fixed,,Nil,Nil,EIC-CIVIL||SE PH (RnB) Circle BBSR||GPH DIVN.II Sambalpur,IFB-01/ SE GPH SBP of 2025-26,2025_EICCL_122701_10,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,09-Dec-2025 10:00 AM,22-Dec-2025 11:00 AM,09-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,09-Dec-2025 10:00 AM ,19-Dec-2025 05:00 PM ,09-Dec-2025 10:00 AM,20-Dec-2025 05:00 PM,AOC,Urbashee Tandi,Internal,SailendraKumarPanditDivisionalAccountantsOfficer-IMeemanshaSahuJuniorEngineer(Estimator),Urbashee Tandi,22-Jan-2026 01:38 PM,finsummary_569956.pdf (1164.35 KB),Urbashee Tandi,Internal,SailendraKumarPanditDivisionalAccountantsOfficer-IMeemanshaSahuJuniorEngineer(Estimator),Urbashee Tandi,22-Jan-2026 01:32 PM,techsummary_569956.pdf (1164.34 KB),1,3299593,ANKIT KUMAR SINGAL,18-Dec-2025 04:20 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,1.0,3310907.0,SMT. UTKALIKA ROUT,INR,"637,932",EIC-CIVIL||SE PH (RnB) Circle BBSR||GPH DIVN.II Sambalpur,2025_EICCL_122701_10,IFB-01/ SE GPH SBP of 2025-26,Improvement of Internal PH work to Boys Hostel (old building) of Govt. ITI at Balangir(Ground floor and 1st floor),18-Feb-2026,"INR 637,932",90.0,Urbashee Tandi,21-Feb-2026 11:03 AM,2107.pdf (573.00 KB),Finance,All Tender are Opened today,Urbashee Tandi,22-Dec-2025 05:13 PM,finance_569956.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3315590,ASHOK PRADHAN,18-Dec-2025 09:26 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3316297,BIKASH PATEL,19-Dec-2025 11:11 AM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3306171,CHINMAYA PRADHAN,18-Dec-2025 07:14 AM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3318966,JAGANNATH NAYAK,20-Dec-2025 12:28 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3319499,LAMBODAR BISWAL,20-Dec-2025 04:01 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3315797,LAXMIKANTA DASH,18-Dec-2025 11:01 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3312268,M/S GPS ELECTRICALS,19-Dec-2025 12:20 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3319461,NAGENDRA PANIGRAHI,20-Dec-2025 03:44 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3315307,PRAVASH KUMAR DANI,18-Dec-2025 07:56 PM,Rejected-AOC,.,21-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,AOC
