Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
EIC Civil Cum Roads Odisha,Internal,,Lipsa Mallick,03-Dec-2024 09:10 PM,05-Dec-2024 11:30 AM,techsummary_503518.pdf (454.90 KB),1.0,Tender Revocation,Tender Revocation,03-Dec-2024 08:53 PM,Berhampur_TenderRevocation.pdf ,69.67,Technical Opening,Finance,Finance Opening,Lipsa Mallick,05-Dec-2024 11:53 AM,,BOQ Comparative Chart,10-Feb-2026,"INR 10,440,300",730.0,Pradipta Kumar Nayak,10-Feb-2026 12:10 PM,AE_Berhampur.pdf (122.00 KB),01EPC of 2025-26,1,2524656,Chaitanya Projects Consultancy Private Limited,08-Aug-2024 12:38 PM,Rejected-AOC,L3 bidder,10-Feb-2026 12:10 PM,1.0,2525064.0,M/s Engineering Consultancy Services,INR,"10,440,300",EIC-CIVIL,2024_EICCL_103880_1,RFP for EOI Identification No.CE-DPI and R-03/2023-24,Request for Proposal (RFP) for Selection of Consultant as Authority Engineer for Construction of Berhampur ring road to from 0/000 km to 12/300 km in the District of Ganjam in EPC Mode for the year 2023-24,Technical,Opening,Lipsa Mallick,03-Dec-2024 09:02 PM,,CE Roads,Internal,,Pradipta Kumar Nayak,10-Feb-2026 12:06 PM,finsummary_503518.pdf (121.69 KB),AOC,1.0,ICICI BANK,"4,40,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Fee, Bid Security and Affidavits etc","Chief Engineer, DPI and Roads, Odisha","Office of the E.I.C. Civil, Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",Request for Proposal (RFP) for Selection of Consultant as Authority Engineer for Construction of Berhampur ring road to from 0/000 km to 12/300 km in the District of Ganjam in EPC Mode for the year 2023-24,RFP Request for Proposal (RFP) for Selection of Consultant as Authority Engineer for Construction of Berhampur ring road to from 0/000 km to 12/300 km in the District of Ganjam in EPC Mode for the year 2023-24,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,120.0,730.0,In Ganjam Dist,751001.0,"O/o the E.I.C. Civil, Odisha, Bhubaneswar ","Office of the E.I.C. Civil, Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar ",01-Aug-2024 12:30 PM ,"O/o the E.I.C. Civil, Odisha, Bhubaneswar",No ,No,25-Jul-2024 01:00 PM,08-Aug-2024 04:30 PM,25-Jul-2024 01:00 PM,08-Aug-2024 04:00 PM,NA ,NA ,25-Jul-2024 01:00 PM,08-Aug-2024 04:00 PM,05-Dec-2024 11:30 AM,"10,000",0.0,Nil,Nil,No,EIC-CIVIL,RFP for EOI Identification No.CE-DPI and R-03/2023-24,2024_EICCL_103880_1,Yes,Limited,Item Rate,Services,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2522897,D N CONSULTANT,08-Aug-2024 01:57 PM,Rejected-Technical,Rejected,03-Dec-2024 09:10 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Other documents as per RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2524287,L N MALVIYA INFRA PROJECTS PVT. LTD,08-Aug-2024 11:42 AM,Rejected-AOC,L4 bidder,10-Feb-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,Financial Proposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2524658,M/s. CADD CONSULING ENGINEERS PRIVATE LIMITED,08-Aug-2024 03:51 PM,Rejected-AOC,L2 bidder,10-Feb-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2525064,M/s Engineering Consultancy Services,08-Aug-2024 12:56 PM,Accepted-AOC,L1 bidder,10-Feb-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
