S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,03-Dec-2025 11:00 AM,18-Dec-2025 10:30 AM,03-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,NA ,NA ,03-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,20-Dec-2025 01:00 PM,"81,400",Yes,fixed,,Nil,Nil,Superintending Engineer prachi division,O/O the Superintending Engineer Prachi Divn Bhubaneswar,"10,000",0.0,Nil,Nil,No,Improvement to service road on DTBC right bank from Suneimuhan to Sundardagada RD 3.650 Km. to 4.950 Km.,road work,Please refer Tender documents. ,NA ,"81,34,674",Civil Works - Roads,NA ,Tender,90.0,NA ,niali,754004.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-16/2025-26,2025_CELBB_122423_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_122423_2,SEPRD-16/2025-26,Improvement to service road on DTBC right bank from Suneimuhan to Sundardagada RD 3.650 Km. to 4.950 Km.,Technical,Bid Opened,Raghunath Swain,19-Dec-2025 11:13 AM,,SE PRACHI DIVISION,Internal,,Kirti Kasturika,16-Jan-2026 06:03 PM,finsummary_568806.pdf (152.80 KB),1.0,3310881.0,SHIVAJYOTI CIVCON PRIVATE LIMITED,INR,"6,915,286",1,3308830,ABHIJEET JENA,17-Dec-2025 10:15 AM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,11-Feb-2026,"INR 6,915,286",180.0,Raghunath Swain,11-Feb-2026 05:01 PM,2.PDF (155.00 KB),SE PRACHI DIVISION,Internal,SE PRACHI DIVISION,Swosti Elora Pattnaik,19-Dec-2025 06:20 PM,20-Dec-2025 01:00 PM,techsummary_568806.pdf (677.55 KB),Finance,FINANCIAL BID,Kirti Kasturika,16-Jan-2026 05:55 PM,finance_568806.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3300101,ALOK SENAPATI,16-Dec-2025 07:40 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3308896,AMIYA KUMAR MOHAPATRA,16-Dec-2025 05:17 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3311469,ANSUMAN BHUYAN,17-Dec-2025 03:38 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3311543,ASHUTOSH BARIK,17-Dec-2025 03:58 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3309175,BHABANI SANKAR CHOUDHURY,16-Dec-2025 06:41 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3309419,BIJAY KRUSHNA PARIDA,16-Dec-2025 08:06 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3311627,BINAYA KUMAR JENA,17-Dec-2025 04:24 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3296595,BISWAJIT BISWAL,12-Dec-2025 10:12 PM,Rejected-Finance,L2,16-Jan-2026 06:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3307620,DIPTI RANJAN NAYAK,16-Dec-2025 09:58 PM,Rejected-Technical,Disqualified,19-Dec-2025 06:20 PM,,,,,,,,,,,,,,,,,,,,AOC
