S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"6,000",0.0,Nil,Nil,No,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_199,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of paver road and RCC drain from Satyaban Palai house towards Ajaya Kumar Behera house at Adivasi Sahi in Ward No.8,Construction of paver road and RCC drain from Satyaban Palai house towards Ajaya Kumar Behera house at Adivasi Sahi in Ward No.8,Please refer Tender documents. ,NA ,"19,99,739",Civil Works - Others,NA ,Tender,90.0,120.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,"20,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,AOC,1.0,2889933.0,PRASHANN KUMAR JANKA,INR,"1,861,757",Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,01-Jan-2026 06:16 PM,finsummary_536657.pdf (240.28 KB),Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_199,BM-BDK-01-2025-26,Construction of paver road and RCC drain from Satyaban Palai house towards Ajaya Kumar Behera house at Adivasi Sahi in Ward No.8,1,2889933,PRASHANN KUMAR JANKA,26-Apr-2025 04:55 PM,Accepted-AOC,Quoted first lowest,10-Feb-2026 07:16 PM,10-Feb-2026,"INR 1,861,757",120.0,Sourav Chakrabarty,10-Feb-2026 07:16 PM,199.pdf (1522.00 KB),work order issued,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,01-Jan-2026 06:14 PM,techsummary_536657.pdf (240.28 KB),Finance,ok,TAPASA KUMAR SAMAL,05-May-2025 10:26 AM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2894770,Rajesh Sethi,25-Apr-2025 02:53 PM,Rejected-AOC,Quoted second lowest,10-Feb-2026 07:16 PM,,,,,,,,,,,,,,,,,,,,AOC
