S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,3100074.0,SIBU KANUNGO,INR,"38,400,728",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_117930_1,CCEKC - 10 / 2025-26,Improvement of Bonai Border Barbil-Nalda road from 299/135 km to 305/541 km (in stretches) in the district of Keonjhar under State Plan for the year 2025-26,Technical,Bid opening summary,Santosh Kumar Behera,26-Sep-2025 12:19 PM,technical_552183.pdf,Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,07-Feb-2026 05:47 PM,finsummary_552183.pdf (2754.88 KB),Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,30-Oct-2025 11:22 AM,01-Nov-2025 11:30 AM,techsummary_552183.pdf (703.41 KB),Finance,Bid opening summary,Santosh Kumar Behera,01-Nov-2025 12:38 PM,finance_552183.pdf,BOQ Comparative Chart,07-Feb-2026,"INR 38,400,728",180.0,Santosh Kumar Behera,07-Feb-2026 05:51 PM,AOCBarbilNaldaRoad.pdf (2755.00 KB),1st Lowest Bidder Winner of Lottery,1,3098336,AUROBINDO MOHANTY,24-Sep-2025 12:59 PM,Rejected-Technical,As per decision of tender evaluation committee.,30-Oct-2025 11:22 AM,AOC,"10,000",0.0,Nil,Nil,No,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",Improvement of Bonai Border Barbil-Nalda road from 299/135 km to 305/541 km (in stretches) in the district of Keonjhar under State Plan for the year 2025-26,Improvement of Bonai Border Barbil-Nalda road from 299/135 km to 305/541 km (in stretches) in the district of Keonjhar under State Plan for the year 2025-26,Please refer Tender Documents ,NA ,"4,51,72,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Keonjhar,758001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",12-Sep-2025 09:00 AM,26-Sep-2025 11:30 AM,12-Sep-2025 09:00 AM,25-Sep-2025 04:00 PM,NA ,NA ,12-Sep-2025 09:00 AM,25-Sep-2025 04:00 PM,01-Nov-2025 11:30 AM,"4,51,800",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 10 / 2025-26,2025_EICCL_117930_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3097756,Bhagaban Nath,25-Sep-2025 09:04 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,07-Feb-2026 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3099227,LAGNAJIT BISWAL,25-Sep-2025 03:50 PM,Rejected-Technical,As per decision of tender evaluation committee.,30-Oct-2025 11:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3100145,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,25-Sep-2025 02:15 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,07-Feb-2026 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3097482,RAJNISH ENGICONS PVT. LTD,25-Sep-2025 10:18 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,07-Feb-2026 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3098047,RANJAN KUMAR SWAIN,25-Sep-2025 10:58 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,07-Feb-2026 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3099062,RASHMI RANJAN JENA,24-Sep-2025 05:17 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,07-Feb-2026 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3100074,SIBU KANUNGO,25-Sep-2025 01:22 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,07-Feb-2026 05:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3100131,SUJEET KUMAR,25-Sep-2025 03:12 PM,Rejected-Finance,2nd Lowest Bidder,07-Feb-2026 05:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3097337,SURESH KUMAR PANDA,23-Sep-2025 05:34 PM,Rejected-Technical,As per decision of tender evaluation committee.,30-Oct-2025 11:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
