S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,"Const. of Atal Bus Stand (C Type) at Saranda Under Attabira Block, Bargarh",Building Work,Please refer Tender documents. ,NA ,"9,94,00,561",Civil Works - Buildings,NA ,Tender,90.0,450.0,Bargarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,03-Jan-2026 06:55 PM,27-Jan-2026 10:30 AM,03-Jan-2026 06:55 PM,22-Jan-2026 05:00 PM,NA ,NA ,03-Jan-2026 06:55 PM,22-Jan-2026 05:00 PM,12-Feb-2026 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,EXTENSION OF DATE AND TIME,Date,,"9,94,000",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,24/OPHWC/2025-26,2026_OSPHW_124160_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,25-Feb-2026 12:07 PM,finsummary_574271.pdf (368.18 KB),Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_124160_1,24/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Saranda Under Attabira Block, Bargarh",Technical,3 Nos. of bidders have been participated,MONALISHA PADHY,27-Jan-2026 11:23 AM,,1.0,3357017.0,BLL CONSTRUCTION,INR,"98,625,237",1,3357017,BLL CONSTRUCTION,16-Jan-2026 01:15 PM,Accepted-AOC,QUALIFIED BIDDER,25-Feb-2026 12:11 PM,25-Feb-2026,"INR 98,625,237",450.0,Bikram Keshari Malla,25-Feb-2026 12:10 PM,ATTABIRA.pdf (83.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 23.02.2026,Finance,Financial bid opened,LAXMIPRIYA NAYAK,12-Feb-2026 10:37 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,11-Feb-2026 05:22 PM,12-Feb-2026 10:30 AM,techsummary_574271.pdf (331.06 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,MODIFICATION MADE IN DTCN CLAUSE,Technical Bid,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3362905,PARAG AGRAWAL,22-Jan-2026 04:43 PM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j).,11-Feb-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3356676,Santosh Kumar Mishra,20-Jan-2026 10:36 PM,Rejected-Finance,DUE TO L2 BIDDER,25-Feb-2026 12:07 PM,,,,,,,,,,,,,,,,,,,,,AOC
