Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Development of Pindi and road at Court Front,Development of Pindi and road at Court Front,Please refer Tender documents. ,NA ,"6,03,388",Civil Works - Others,NA ,Tender,90.0,120.0,Executive Officer Pattamundai Municipality,754215.0,NA ,NA ,NA ,Executive Officer Pattamundai Municipality,No ,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Executive Officer Pattamundai Municipality,Executive Officer Pattamundai Municipality Pattamundai Kendrapara,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Documents as per DTCN,04-Nov-2025 06:55 PM,15-Nov-2025 11:00 AM,04-Nov-2025 06:55 PM,13-Nov-2025 05:00 PM,04-Nov-2025 06:55 PM ,12-Nov-2025 05:00 PM ,04-Nov-2025 06:55 PM,13-Nov-2025 05:00 PM,"6,034",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Pattamundai Municipality,PM_03/2025-26,2025_ORULB_120762_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,11-Feb-2026 01:21 PM,finsummary_561898.pdf (630.12 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,11-Feb-2026 01:15 PM,techsummary_561898.pdf (470.59 KB),Municipal Bodies||Pattamundai Municipality,2025_ORULB_120762_34,PM_03/2025-26,Development of Pindi and road at Court Front,1.0,3195296.0,SURATH KUMAR SWAIN,INR,"605,269",1,3219529,ABHAYA KUMAR DAS,12-Nov-2025 10:37 PM,Rejected-AOC,L2,11-Feb-2026 01:27 PM,11-Feb-2026,"INR 605,269",120.0,Ranjan Kumar Das,11-Feb-2026 01:27 PM,AOC.pdf (814.00 KB),Finance,Ok,Ranjan Kumar Das,20-Nov-2025 01:02 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3218884,HEMANT KUMAR BISWAL,12-Nov-2025 11:33 PM,Rejected-AOC,L10,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3215983,Mr Manmohan Rout,12-Nov-2025 09:41 AM,Rejected-AOC,L8,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3213004,Mr.Paresh Chandra Jena,11-Nov-2025 02:09 PM,Rejected-AOC,L3,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3214501,PRADEEP BEHERA,11-Nov-2025 06:49 PM,Rejected-Technical,The Bidder is Disqualified as per Clause No-67 of DTCN No-3647 dtd.02/11/2025,11-Feb-2026 01:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3219215,PRANATI BEHERA,12-Nov-2025 10:12 PM,Rejected-AOC,L5,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3217189,RUDRA NARAYAN DAS,12-Nov-2025 02:04 PM,Rejected-AOC,L6,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3214595,RUPADARSHI PRADHAN,11-Nov-2025 06:48 PM,Rejected-AOC,L9,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3215900,SASMITA LENKA,12-Nov-2025 08:57 AM,Rejected-AOC,L7,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3215520,SUBRAT KUMAR SWAIN,12-Nov-2025 04:53 PM,Rejected-AOC,L4,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3195296,SURATH KUMAR SWAIN,07-Nov-2025 08:52 PM,Accepted-AOC,The Bidder Was Selected As L1 Bidder Through Transparency Lottery Process.,11-Feb-2026 01:27 PM,,,,,,,,,,,,,AOC
