Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Finance,ok,Nilakantha Kisan,25-Jul-2025 04:57 PM,finance_544346.pdf,BOQ Comparative Chart,05-Feb-2026,"INR 1,820,000",120.0,Nilakantha Kisan,05-Feb-2026 01:24 PM,65.pdf (1914.00 KB),1,2991405,BASANTA KUMAR BISWAL,06-Jul-2025 05:23 PM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,1.0,2992261.0,MAA DURGA CONSTRUCTION,INR,"1,820,000",Municipal Bodies||Belpahar Municipal Council,2025_ORULB_114739_65,EO/BPHM02/25-26,Construction of CC drain from Nabin Luhura house to Munda house in W.No.18,Nimai Charan Panda,Internal,,Nilakantha Kisan,31-Jul-2025 12:00 PM,techsummary_544346.pdf (256.50 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,09-Sep-2025 12:05 PM,finsummary_544346.pdf (256.50 KB),AOC,1.0,ICICI BANK,Municipal Bodies||Belpahar Municipal Council,EO/BPHM02/25-26,2025_ORULB_114739_65,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,26-Jun-2025 10:00 AM,08-Jul-2025 11:00 AM,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,NA ,NA ,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"18,200",Yes,fixed,,Nil,Nil,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,Construction of CC drain from Nabin Luhura house to Munda house in W.No.18,Construction of CC drain from Nabin Luhura house to Munda house in W.No.18,Please refer Tender documents. ,NA ,"18,20,000",Civil Works - Others,NA ,Tender,90.0,120.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,AOC
,,,,,,,,,,,,2,2991313,Debendra Sahu,06-Jul-2025 08:33 PM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,AOC
,,,,,,,,,,,,3,2991620,GOURANGA CHARAN SAHU,06-Jul-2025 09:15 PM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,4,2991367,J N R Dora,07-Jul-2025 01:14 AM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,2990936,J. Rajendra Dora,06-Jul-2025 01:38 AM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,2991626,lalu kishan,06-Jul-2025 09:16 PM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,2991753,LAXMIDHAR SAHOO,07-Jul-2025 09:17 AM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,2992261,MAA DURGA CONSTRUCTION,07-Jul-2025 04:38 PM,Accepted-AOC,Tender finalised through transparent lottery system drawn among L1 bidders and winner of lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,2991410,M/S SASWAT ENTERPRISES,06-Jul-2025 05:28 PM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,2991879,RABINDRA BISWAL,07-Jul-2025 12:02 PM,Rejected-AOC,Not win the lottery,05-Feb-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
