Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,"Supply, Installation, Testing and Commissioning of Electric Street Light posts (Octagonal 10m height) for improvement and strengthening of Four lane road in Kalunga Industrial Estate.","Supply, Installation, Testing and Commissioning of Electric Street Light posts (Octagonal 10m height) for improvement and strengthening of Four lane road in Kalunga Industrial Estate.",Please refer Tender documents. ,NA ,"96,53,072",Electrical Works,NA ,Tender,90.0,180.0,Kalunga,770031.0,NA ,NA ,NA ,S.E. Electrical Circle (RandB) Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN, GSTIN, Electrical License, Affidavit and Other Documents as per DTCN.","96,531",No,percentage,1.0%,Nil,Nil,S.E. Electrical Circle (RandB) Bhubaneswar,"S.E. Electrical Circle (RandB) Bhubaneswar, Nirman Soudha Building, Near Power House Square, Unit-V, 751001.",1.0,ICICI BANK,EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 16/2024-25,2025_EICCL_110681_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,15-Feb-2025 05:00 PM,01-Mar-2025 11:30 AM,15-Feb-2025 05:00 PM,28-Feb-2025 05:00 PM,15-Feb-2025 05:00 PM ,21-Feb-2025 05:00 PM ,15-Feb-2025 05:00 PM,28-Feb-2025 05:00 PM,23-Apr-2025 03:00 PM,AOC,Technical,Opened,Nihar Chandra Naik,01-Mar-2025 01:32 PM,,EIC-CIVIL||SE R and B Electrical,2025_EICCL_110681_3,Bid Identification No.S.E.E.C (RandB) 16/2024-25,"Supply, Installation, Testing and Commissioning of Electric Street Light posts (Octagonal 10m height) for improvement and strengthening of Four lane road in Kalunga Industrial Estate.","S.E. Electrical Circle (RandB) Odisha, BBSR",Internal,"AEE, SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, EE, GE Sub Division, Rourkela, DAO, Rourkela (RandB) Division and SE, Rourkela (RandB) Division.",Nihar Chandra Naik,10-Feb-2026 02:00 PM,finsummary_530189.pdf (544.04 KB),1.0,2840947.0,JUPITER ENGINEERS,INR,"8,206,077",1,2841312,Arihant Electricals and Engineers,28-Feb-2025 01:22 PM,Rejected-Technical,Not fulfilled the criteria as per DTCN Clause 11 (a),19-Apr-2025 05:12 PM,10-Feb-2026,"INR 8,206,077",180.0,Nihar Chandra Naik,10-Feb-2026 02:04 PM,Kalunga.pdf (274.00 KB),AOC,"S.E. Electrical Circle (RandB) Odisha, BBSR",Internal,"AEE SEEC (RandB) Odisha, BBSR, PA to SEEC (RandB) Odisha, BBSR, EE, GE Sub Divn. Rourkela, D.A.O. Rourkela (RandB) Divn and SE, Rourkela (RandB) Divn.",Nihar Chandra Naik,19-Apr-2025 05:12 PM,23-Apr-2025 03:00 PM,techsummary_530189.pdf (635.51 KB),Finance,Opened,Nihar Chandra Naik,23-Apr-2025 05:46 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2838325,DIVINE ENTERPRISES,26-Feb-2025 11:10 AM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2838812,GREEN INNOVATIVE POWER PRIVATE LIMITED,26-Feb-2025 05:05 PM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2840947,JUPITER ENGINEERS,28-Feb-2025 03:36 PM,Accepted-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2841473,MARUTI CONSTRUCTIONS,28-Feb-2025 01:58 PM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2841717,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,28-Feb-2025 04:45 PM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2841391,MESSERS OMM SAI ELECTRICALS,28-Feb-2025 01:47 PM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2829024,MODERN WINDING AND ELECTRICALS,21-Feb-2025 01:17 PM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2837702,M/s. EASTERN ENGINEERING,25-Feb-2025 05:59 PM,Rejected-AOC,OK,10-Feb-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2831170,Ms. JAYANTI ELECTRICALS,28-Feb-2025 03:14 PM,Rejected-Technical,Not fulfilled the criteria as per DTCN Clause 11 (a),19-Apr-2025 05:12 PM,,,,,,,,,,,,,,,,,,,,,AOC
