Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,21-Dec-2025 05:32 PM,22-Dec-2025 10:00 AM,techsummary_565866.pdf (1416.32 KB),Finance,Financial Open,CHITARANJAN PRADHAN,22-Dec-2025 03:11 PM,finance_565866.pdf,BOQ Comparative Chart,1,3268589,Anup kumar agrawal,01-Dec-2025 04:34 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:17 PM,27-Feb-2026,"INR 8,984,816.56",120.0,CHITARANJAN PRADHAN,27-Feb-2026 04:17 PM,45.pdf (738.00 KB),Agreement Done,1.0,3267256.0,DIPAK RANJAN BEHERA,INR,"8,984,816.56",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_45,EEOLICSBP-03/2025-26,Installation of Kunjarbandh and Katangdera L.I. Project under Jujomura block in Sambalpur District,Technical,Tender Open,CHITARANJAN PRADHAN,03-Dec-2025 10:51 AM,technical_565866.pdf,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,27-Feb-2026 01:09 PM,finsummary_565866.pdf (575.62 KB),AOC,"11,800",0.0,Nil,Nil,No,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,22-Dec-2025 10:00 AM,Installation of Kunjarbandh and Katangdera L.I. Project under Jujomura block in Sambalpur District,Installation of Kunjarbandh and Katangdera L.I. Project under Jujomura block in Sambalpur District,Please refer Tender documents. ,NA ,"1,05,69,129",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,Jujomura,768105.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,1.0,ICICI BANK,"1,05,691",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents","E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_45,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,3269233,BISWARANJAN SATAPATHY,01-Dec-2025 02:23 PM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3267256,DIPAK RANJAN BEHERA,29-Nov-2025 08:54 PM,Accepted-AOC,Award of Contract,27-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3268686,JAYAJIT KUMAR SAHOO,01-Dec-2025 12:43 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3267573,KISANPRAKASH DAS,30-Nov-2025 04:02 PM,Rejected-Technical,"He has no mention of work, DTCN in JV",21-Dec-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3267776,MISHRA ELECTRICAL AND CONSTRUCTION,30-Nov-2025 01:42 PM,Rejected-Technical,He has only one year experience certificate uploaded,21-Dec-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3267221,MOHAMMAD ANISH,30-Nov-2025 10:11 PM,Rejected-Technical,He has JV registration out of stipulated period,21-Dec-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3268362,MS Shree Shyam and Co,01-Dec-2025 01:55 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3268393,"OJAS CIVCON, PROPRIETOR-BIJAN MOHANTY",01-Dec-2025 10:03 AM,Rejected-Technical,He has uploaded wrong data in affidavit,21-Dec-2025 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3260988,PRADEEP KUMAR AGRAWALLA,01-Dec-2025 12:09 PM,Rejected-AOC,Not Award of Contract,27-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
