Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
04-Nov-2025 06:55 PM,15-Nov-2025 11:00 AM,04-Nov-2025 06:55 PM,13-Nov-2025 05:00 PM,04-Nov-2025 06:55 PM ,12-Nov-2025 05:00 PM ,04-Nov-2025 06:55 PM,13-Nov-2025 05:00 PM,Development of road at Gajanan Market and Old Vending zone Near Electrc Office.,Development of road at Gajanan Market and Old Vending zone Near Electrc Office.,Please refer Tender documents. ,NA ,"10,11,863",Civil Works - Others,NA ,Tender,90.0,120.0,Executive Officer Pattamundai Municipality,754215.0,NA ,NA ,NA ,Executive Officer Pattamundai Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Documents as per DTCN,"10,119",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Municipal Bodies||Pattamundai Municipality,PM_03/2025-26,2025_ORULB_120762_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Executive Officer Pattamundai Municipality,Executive Officer Pattamundai Municipality Pattamundai Kendrapara,AOC,HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,13-Feb-2026 11:40 AM,finsummary_561895.pdf (681.54 KB),HEMANT KUMAR SAHOO,Internal,,Ranjan Kumar Das,13-Feb-2026 11:34 AM,techsummary_561895.pdf (461.03 KB),Municipal Bodies||Pattamundai Municipality,2025_ORULB_120762_32,PM_03/2025-26,Development of road at Gajanan Market and Old Vending zone Near Electrc Office.,1.0,3215911.0,TUSAR RANJAN BEHURA,INR,"1,015,018",1,3220759,ABHAYA KUMAR DAS,13-Nov-2025 12:59 PM,Rejected-AOC,L12,13-Feb-2026 11:47 AM,13-Feb-2026,"INR 1,015,018",120.0,Ranjan Kumar Das,13-Feb-2026 11:46 AM,AOC.pdf (593.00 KB),Finance,Ok,Ranjan Kumar Das,20-Nov-2025 01:06 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3202451,BISWA BHUSAN SAMAL,11-Nov-2025 09:09 PM,Rejected-AOC,L3,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3218874,HEMANT KUMAR BISWAL,12-Nov-2025 11:31 PM,Rejected-AOC,L10,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3215976,Mr Manmohan Rout,13-Nov-2025 11:46 AM,Rejected-AOC,L8,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3212839,Mr.Paresh Chandra Jena,11-Nov-2025 01:45 PM,Rejected-AOC,L4,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3214489,PRADEEP BEHERA,11-Nov-2025 06:46 PM,Rejected-Technical,The Bidder is Disqualified as per Clause No-67 of DTCN No-3647 dtd.02/11/2025,13-Feb-2026 11:34 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3219205,PRANATI BEHERA,12-Nov-2025 10:10 PM,Rejected-AOC,L11,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3217173,RUDRA NARAYAN DAS,12-Nov-2025 02:02 PM,Rejected-AOC,L9,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3214581,RUPADARSHI PRADHAN,11-Nov-2025 06:45 PM,Rejected-AOC,L5,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3215516,SUBRAT KUMAR SWAIN,12-Nov-2025 04:51 PM,Rejected-AOC,L7,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3215475,SUJATA PRUSTY,11-Nov-2025 10:52 PM,Rejected-AOC,L6,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3195281,SURATH KUMAR SWAIN,07-Nov-2025 08:48 PM,Rejected-AOC,L2,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,13,3215911,TUSAR RANJAN BEHURA,13-Nov-2025 11:51 AM,Accepted-AOC,The Bidder Was Selected as L1 Bidder Through Transparency Lottery Process,13-Feb-2026 11:47 AM,,,,,,,,,,,,,AOC
