S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,"2,540",Yes,percentage,1.0%,Nil,Nil,15-Nov-2025 01:00 PM,21-Nov-2025 11:00 AM,15-Nov-2025 01:00 PM,20-Nov-2025 05:00 PM,NA ,NA ,15-Nov-2025 01:00 PM,20-Nov-2025 05:00 PM,F type Quarter at Tahasil Balianta for the year 2025-26,F type Quarter at Tahasil Balianta for the year 2025-26,Please refer Tender documents. ,NA ,"2,54,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 23/2025-26,2025_CERWI_121224_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"SE RW, Bhubaneswar",Internal,DAO and Estimator,Shrabani Routray,30-Dec-2025 07:34 PM,finsummary_564448.pdf (473.34 KB),"SE RW, Bhubaneswar",Internal,DAO and Estimator,Shrabani Routray,30-Dec-2025 07:30 PM,techsummary_564448.pdf (679.84 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_121224_46,Tender Online Divn. BBSR - 23/2025-26,F type Quarter at Tahasil Balianta for the year 2025-26,1.0,3236856.0,MANORAMA DALEI,INR,"215,750",1,3235592,KISHORE CHANDRA PRADHAN,18-Nov-2025 03:31 PM,Rejected-Technical,Technically Not Qualified,30-Dec-2025 07:30 PM,12-Feb-2026,"INR 215,750",60.0,Nirmal Chandra Jena,12-Feb-2026 03:37 PM,Ftypequarter.pdf (277.00 KB),AOC,Finance,10 nos of bidder are participated,Shrabani Routray,24-Nov-2025 06:50 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3236856,MANORAMA DALEI,19-Nov-2025 06:52 AM,Accepted-AOC,L1 Bidder,12-Feb-2026 03:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3238921,M/s PRATAP KUMAR MAHAPATRA,19-Nov-2025 05:36 PM,Rejected-Technical,Technically not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3241953,PRAFULLA PARIDA,20-Nov-2025 03:23 PM,Rejected-Technical,Technically not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3241085,RAJKISHORE MALLICK,20-Nov-2025 12:48 PM,Rejected-Technical,Technically not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3240609,RAKESH KUMAR SAHOO,20-Nov-2025 11:40 AM,Rejected-Technical,Technically Not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3238826,RANJAN KUMAR JENA,19-Nov-2025 04:45 PM,Rejected-Technical,Technically not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3239053,SAROJ KUMAR SUNDARAY,19-Nov-2025 05:48 PM,Rejected-Technical,Technically not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3239107,SOUMYA RANJAN MALLICK,19-Nov-2025 05:59 PM,Rejected-Finance,Not success in lottery,30-Dec-2025 07:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3240340,sumita sahoo,20-Nov-2025 11:38 AM,Rejected-Technical,Technically Not Qualified,30-Dec-2025 07:30 PM,,,,,,,,,,,,,,AOC
