Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",0.0,Nil,Nil,No,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",17-Dec-2025 10:00 AM,29-Dec-2025 04:30 PM,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,NA ,NA ,17-Dec-2025 10:00 AM,29-Dec-2025 04:00 PM,Municipal Bodies||Redhakhol NAC,RDL NAC-4/2025-26,2025_ORULB_123226_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of Paver Block road from Anganwadi towards Bijay Gagria at Chirgunipal in ward No 6,Construction of Paver Block road from Anganwadi towards Bijay Gagria at Chirgunipal in ward No 6,Please refer Tender documents. ,NA ,"4,23,363",Civil Works - Roads,NA ,Tender,90.0,30.0,"NAC, Redhakhol",768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,"4,234",Yes,percentage,1.0%,Nil,Nil,AOC,Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,06-Feb-2026 04:40 PM,techsummary_571858.pdf (446.60 KB),Sibaram Sahoo,Internal,"Chairperson, EO, ME,JE",RANJAN KUMAR MARTHA,17-Feb-2026 05:56 PM,finsummary_571858.pdf (1647.40 KB),Finance,23 bidder participated and admitted for Technical Evaluation,RANJAN KUMAR MARTHA,30-Jan-2026 06:12 PM,,BOQ Comparative Chart,21-Feb-2026,"INR 422,940",30.0,RANJAN KUMAR MARTHA,24-Feb-2026 04:36 PM,669.pdf (661.00 KB),1,3326900,AKHUJA NAIK,24-Dec-2025 08:12 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,Municipal Bodies||Redhakhol NAC,2025_ORULB_123226_15,RDL NAC-4/2025-26,Construction of Paver Block road from Anganwadi towards Bijay Gagria at Chirgunipal in ward No 6,1.0,3334326.0,Subash Chandra Dash,INR,"422,940",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3325743,Banamali Behera,24-Dec-2025 12:43 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3333977,BIJAY PRADHAN,28-Dec-2025 03:15 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3333266,Birendra Kumar Sahoo,28-Dec-2025 10:27 AM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3328914,BISWARANJAN PRADHAN,26-Dec-2025 10:27 AM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3333477,HARISHCHANDRA SAHOO,28-Dec-2025 12:01 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3326600,KAUSTAVA MANI RAUL,24-Dec-2025 05:05 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3333151,Lilabati Meher,28-Dec-2025 08:17 AM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3336517,"M/s. SURVEILLANCE SYSTEM, PROPRIETOR- ESHA JHAJHARIA",29-Dec-2025 01:41 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3335100,Narendra Kumar Sahoo,28-Dec-2025 10:52 PM,Rejected-Finance,As per Lottery,17-Feb-2026 05:56 PM,,,,,,,,,,AOC
