Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
26-Aug-2025 01:00 PM,10-Sep-2025 11:00 AM,26-Aug-2025 01:00 PM,09-Sep-2025 04:00 PM,NA ,NA ,26-Aug-2025 01:00 PM,09-Sep-2025 04:00 PM,04-Oct-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of PWD Section Office-Cum-Residence Building at Kosagumuda in the District of Nabarangpur for the year 2025-26,"Civil, E.I. and P.H. Works",Please refer Tender documents. ,NA ,"77,99,442",Civil Works - Buildings,Construction Work ,Tender,90.0,180.0,"Kosagumuda, Nabarangpur",764061.0,NA ,NA ,NA ,"O/o the SE, Nabarangpur R and B Division",No ,No,Superintending Engineer,"Office of the Superintending Engineer, Nabarangpur R and B Division",EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,S.E. (R and B) - 09/2025-26/NGP,2025_EICCL_117347_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"78,000",Yes,fixed,,Nil,Nil,AOC,22-Feb-2026,"INR 6,630,305.423",180.0,Kshirdhar Kandhapani,22-Feb-2026 12:02 PM,AwardingKosagumuda.pdf (750.00 KB),Document Uploaded,1,3070570,AJBAL BHATRA,08-Sep-2025 11:33 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,Superintending Engineer,Internal,"Superintending Engineer, DAO, Estimator",Kshirdhar Kandhapani,04-Oct-2025 10:34 AM,04-Oct-2025 11:30 AM,techsummary_550534.pdf (259.58 KB),Finance,Document Uploaded,Kshirdhar Kandhapani,08-Oct-2025 12:43 PM,finance_550534.pdf,BOQ Comparative Chart,Technical,Opening Form Uploaded,Kshirdhar Kandhapani,04-Oct-2025 09:58 AM,technical_550534.pdf,EIC-CIVIL||SERNB-CIRCLE-JEYPORE||EERNB-DIVN-JEYPORE,2025_EICCL_117347_4,S.E. (R and B) - 09/2025-26/NGP,Construction of PWD Section Office-Cum-Residence Building at Kosagumuda in the District of Nabarangpur for the year 2025-26,Superintending Engineer,Internal,"Superintending Engineer, DAO, Estimator",Kshirdhar Kandhapani,25-Nov-2025 08:56 AM,finsummary_550534.pdf (538.29 KB),1.0,3072003.0,SRIKANT KUMAR BISSOYI,INR,"6,630,305.423",AOC
,,,,,,,,,,,.pdf,Machinaries work in hand and other Documents as per Technical Bid,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3070637,ASWINI KUMAR SAHU,09-Sep-2025 12:29 AM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3069353,Bhodev Mahala,08-Sep-2025 03:52 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3071805,DHANANJAYA BISSOYI,09-Sep-2025 02:01 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3068657,MANISA JENA,08-Sep-2025 02:55 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3072096,M/S Padam Mali,09-Sep-2025 03:26 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3067072,NILAKANTHA PANIGRAHI,07-Sep-2025 11:48 AM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3064416,PRABHATKUMAR BISOI,05-Sep-2025 02:31 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3071286,Rajesh Ranjan Dash,09-Sep-2025 02:05 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3071925,Sanjay Kumar Agrawal,09-Sep-2025 02:32 PM,Rejected-Finance,1st Lowest and Not Qualified in Lottery System,25-Nov-2025 08:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
