Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag, Ratucharan Besra",CHITARANJAN PRADHAN,20-Dec-2025 10:44 AM,20-Dec-2025 05:00 PM,techsummary_566069.pdf (605.13 KB),Finance,Financial Open,CHITARANJAN PRADHAN,20-Dec-2025 06:19 PM,finance_566069.pdf,BOQ Comparative Chart,1,3268234,ADVIK CONSTRUCTIONS PROP-ALIN KUMAR NAYAK,30-Nov-2025 07:04 PM,Accepted-AOC,Award of Contract,28-Feb-2026 12:37 PM,28-Feb-2026,"INR 658,808.07",90.0,CHITARANJAN PRADHAN,28-Feb-2026 12:37 PM,78.pdf (753.00 KB),Agreement Done,1.0,3268234.0,ADVIK CONSTRUCTIONS PROP-ALIN KUMAR NAYAK,INR,"658,808.07",Technical,Tender Open,CHITARANJAN PRADHAN,02-Dec-2025 11:09 AM,,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_121603_78,EEOLICSBP-03/2025-26,Reinforcement of Ulunda-I L.I. Project under Kuchinda block in Sambalpur District,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag, Ratucharan Besra",CHITARANJAN PRADHAN,28-Feb-2026 12:10 PM,finsummary_566069.pdf (752.73 KB),AOC,1,Fee/PreQual/Technical,.pdf,"Tender cost, Registration Certificate, PAN, Affidavits, Undertaking, Other documents",1,ICICI BANK,"6,736",Yes,percentage,1.0%,Nil,Nil,21-Nov-2025 10:00 AM,02-Dec-2025 10:00 AM,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,21-Nov-2025 10:00 AM ,30-Nov-2025 05:00 PM ,21-Nov-2025 10:00 AM,01-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,Reinforcement of Ulunda-I L.I. Project under Kuchinda block in Sambalpur District,Reinforcement of Ulunda-I L.I. Project under Kuchinda block in Sambalpur District,Please refer Tender documents. ,NA ,"6,73,628",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-03/2025-26,2025_OLIC_121603_78,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,720",0.0,Nil,Nil,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",AOC
,,,,,,,,,,,,,2,3264787,NAYAK AND BHOTHARS,30-Nov-2025 06:44 PM,Rejected-Finance,Not Called for agreement,28-Feb-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
