Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
24-Dec-2025 12:00 PM,30-Dec-2025 05:00 PM,24-Dec-2025 12:00 PM,30-Dec-2025 02:00 PM,24-Dec-2025 12:00 PM ,29-Dec-2025 04:00 PM ,24-Dec-2025 12:00 PM,30-Dec-2025 02:00 PM,Divisional Officer,"RURAL WORKS DIVISION, DHENKANAL",Construction of Compound wall 50 mtr with fixing of new front gate and raising of Compound wall 160 mtr of Sankarpur Inspection Bunglow for the year 2025-26-Building,Construction of Compound wall 50 mtr with fixing of new front gate and raising of Compound wall 160 mtr of Sankarpur Inspection Bunglow for the year 2025-26-Building,NA ,NA ,"16,80,862",Civil Works - Buildings,NA ,Tender,90.0,60.0,Dhenkanal,759001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, DHENKANAL",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Online Tender Paper, EMD, Valid RC, PAN, GSTIN, Affidavit and other documents as per DTCN",CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,Online DKL 18/25-26,2025_CERWI_123770_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"16,810",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,SE,Internal,"SE,DAO and Estimator",Sonali Sucharita Rout,04-Feb-2026 01:29 PM,finsummary_573211.pdf (858.73 KB),CE RW I||RWCIRCLE-ANGUL||RWDIVISION-DHENKANAL,2025_CERWI_123770_1,Online DKL 18/25-26,Construction of Compound wall 50 mtr with fixing of new front gate and raising of Compound wall 160 mtr of Sankarpur Inspection Bunglow for the year 2025-26-Building,1.0,3338823.0,DILLIP KUMAR JENA,INR,"1,428,901",Finance,12 nos of bidders were found,Sonali Sucharita Rout,02-Jan-2026 03:43 PM,finance_573211.pdf,BOQ Comparative Chart,04-Feb-2026,"INR 1,428,901",180.0,Sonali Sucharita Rout,04-Feb-2026 01:34 PM,Sankarpuraoc.pdf (483.00 KB),Won in transparency lottery,1,3332862,Biren Kumar Patra,28-Dec-2025 10:54 AM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,SE,Internal,"SE,DAO and Estimator",Sonali Sucharita Rout,04-Feb-2026 01:16 PM,techsummary_573211.pdf (220.41 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3338770,BODHINATH JAGADISH CHANDRA,29-Dec-2025 10:21 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3338823,DILLIP KUMAR JENA,29-Dec-2025 11:12 PM,Accepted-AOC,Won in transparency lottery,04-Feb-2026 01:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3338789,FAKIRA MOHAN MOHAPATRA,29-Dec-2025 10:32 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3331432,Jagadananda Rout,27-Dec-2025 01:23 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3338130,"M/S SAI SHREE CONSTRUCTIONS, PROP. SANGYASENI ROUT",29-Dec-2025 06:22 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3332779,SABITRI SAHOO,27-Dec-2025 09:28 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3338843,Sandip Kumar Pattanaik,29-Dec-2025 11:17 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3338863,Sasmita Sahoo,29-Dec-2025 11:38 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3339506,SATYABHAMA BEHERA,30-Dec-2025 12:09 PM,Rejected-Finance,Not Qualified,04-Feb-2026 01:29 PM,,,,,,,AOC
